existing_block_id,linked_block_request_id,asset_id,section_id,station_code,block_type,start_time,end_time,duration_min,assigned_team,status,operational_priority,source,block_date,start_min,end_min,calculated_duration_min
EB-0014,,AST-0012,SEC-015,JEUR,Planned Block,16:19,17:49,90,Bridge Inspection Team,Planned,Normal,Existing/Committed,2026-01-10,979,1069,90
EB-0015,,AST-0075,SEC-036,ARAG,Maintenance Block,05:23,06:53,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-11-27,323,413,90
EB-0016,,AST-0187,SEC-002,VSKP,Maintenance Block,08:16,08:46,30,OHE Team,Confirmed,Normal,Existing/Committed,2026-02-04,496,526,30
EB-0017,,AST-0183,SEC-008,PC,Maintenance Block,00:08,00:53,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-05-07,8,53,45
EB-0018,,AST-0177,SEC-015,JEUR,Maintenance Block,10:35,11:20,45,Signal Team,Confirmed,High,Existing/Committed,2024-04-17,635,680,45
EB-0019,,AST-0070,SEC-018,BDWD,Maintenance Block,07:51,08:36,45,Signal Team,Confirmed,Normal,Existing/Committed,2026-03-29,471,516,45
EB-0020,,AST-0042,SEC-020,SEG,Planned Block,19:14,20:14,60,Track Maintenance Team,Active,Normal,Existing/Committed,2025-03-05,1154,1214,60
EB-0021,,AST-0114,SEC-003,JTJ,Maintenance Block,01:13,01:58,45,Signal Team,Confirmed,Normal,Existing/Committed,2025-04-24,73,118,45
EB-0022,,AST-0197,SEC-020,AK,Maintenance Block,09:17,10:17,60,Track Maintenance Team,Confirmed,High,Existing/Committed,2024-12-15,557,617,60
EB-0023,,AST-0113,SEC-003,JTJ,Maintenance Block,11:58,13:58,120,Signal Team,Confirmed,Normal,Existing/Committed,2024-06-10,718,838,120
EB-0024,,AST-0082,SEC-007,JL,Maintenance Block,18:56,19:26,30,Track Maintenance Team,Active,Normal,Existing/Committed,2026-06-24,1136,1166,30
EB-0025,,AST-0077,SEC-033,DLGN,Engineering Block,05:22,06:22,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2026-01-30,322,382,60
EB-0026,,AST-0159,SEC-029,PLO,Maintenance Block,21:00,23:00,120,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-09-14,1260,1380,120
EB-0027,,AST-0059,SEC-021,BD,Maintenance Block,21:45,23:00,75,Signal Team,Confirmed,Normal,Existing/Committed,2025-01-16,1305,1380,75
EB-0028,,AST-0042,SEC-020,SEG,Maintenance Block,03:40,05:40,120,Track Maintenance Team,Active,Normal,Existing/Committed,2026-03-12,220,340,120
EB-0029,,AST-0177,SEC-015,JEUR,Engineering Block,17:48,19:18,90,Bridge Inspection Team,Planned,Normal,Existing/Committed,2025-06-08,1068,1158,90
EB-0030,,AST-0012,SEC-015,JEUR,Maintenance Block,17:18,18:48,90,Bridge Inspection Team,Active,High,Existing/Committed,2025-02-26,1038,1128,90
EB-0031,,AST-0194,SEC-027,PAU,Maintenance Block,12:31,13:31,60,OHE Team,Active,Normal,Existing/Committed,2025-03-05,751,811,60
EB-0032,,AST-0021,SEC-021,MZR,Maintenance Block,05:59,07:14,75,OHE Team,Confirmed,Normal,Existing/Committed,2024-07-25,359,434,75
EB-0033,,AST-0063,SEC-019,MKU,Maintenance Block,00:53,01:38,45,Signal Team,Confirmed,High,Existing/Committed,2024-03-12,53,98,45
EB-0034,,AST-0124,SEC-022,NAVI,Planned Block,14:46,16:46,120,Track Maintenance Team,Active,Normal,Existing/Committed,2025-06-17,886,1006,120
EB-0035,,AST-0141,SEC-022,SUR,Maintenance Block,10:09,12:09,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-05-16,609,729,120
EB-00036,,AST-1152,SEC-276,UJN,Maintenance Block,12:51,13:51,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-02-12,771,831,60
EB-00037,,AST-4142,SEC-335,BSP,Engineering Block,04:03,04:33,30,Signal Team,Active,High,Existing/Committed,2026-04-17,243,273,30
EB-00038,,AST-0219,SEC-413,WFD,Planned Block,20:51,21:51,60,Track Maintenance Team,Confirmed,High,Existing/Committed,2026-03-17,1251,1311,60
EB-00039,,AST-7115,SEC-388,TLH,Maintenance Block,11:12,12:27,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-09-12,672,747,75
EB-00040,,AST-3401,SEC-115,RPR,Maintenance Block,15:20,16:20,60,OHE Team,Active,Normal,Existing/Committed,2025-09-02,920,980,60
EB-00041,,AST-3597,SEC-211,MB,Maintenance Block,22:52,23:52,60,Signal Team,Active,Normal,Existing/Committed,2024-05-24,1372,1432,60
EB-00042,,AST-1313,SEC-461,JER,Planned Block,16:15,17:00,45,Signal Team,Planned,Normal,Existing/Committed,2026-01-07,975,1020,45
EB-00043,,AST-6545,SEC-441,SPN,Maintenance Block,03:04,04:04,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-11-10,184,244,60
EB-00044,,AST-1689,SEC-351,PDG,Maintenance Block,04:42,06:12,90,OHE Team,Planned,High,Existing/Committed,2024-11-29,282,372,90
EB-00045,,AST-4321,SEC-269,Y,Maintenance Block,02:07,03:07,60,Signal Team,Planned,High,Existing/Committed,2024-02-16,127,187,60
EB-00046,,AST-3214,SEC-493,PFM,Planned Block,21:46,22:46,60,Signal Team,Confirmed,High,Existing/Committed,2026-08-07,1306,1366,60
EB-00047,,AST-9369,SEC-042,KTE,Engineering Block,09:05,10:05,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-02-28,545,605,60
EB-00048,,AST-7820,SEC-246,NIU,Engineering Block,21:49,22:34,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-05-22,1309,1354,45
EB-00049,,AST-4769,SEC-192,DVL,Engineering Block,17:49,18:34,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-10-18,1069,1114,45
EB-00050,,AST-8370,SEC-329,TDD,Maintenance Block,06:32,08:32,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-01-27,392,512,120
EB-00051,,AST-6727,SEC-080,CLT,Planned Block,03:52,05:22,90,OHE Team,Active,Normal,Existing/Committed,2026-01-08,232,322,90
EB-00052,,AST-2748,SEC-313,SLO,Maintenance Block,23:50,00:35,45,Bridge Inspection Team,Planned,Normal,Existing/Committed,2024-06-22,1430,35,45
EB-00053,,AST-5694,SEC-343,SRC,Engineering Block,21:53,23:08,75,Track Maintenance Team,Confirmed,High,Existing/Committed,2024-12-08,1313,1388,75
EB-00054,,AST-0906,SEC-236,UBC,Engineering Block,06:58,08:28,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-03-21,418,508,90
EB-00055,,AST-8306,SEC-067,KYN,Engineering Block,17:30,19:30,120,OHE Team,Confirmed,Normal,Existing/Committed,2025-04-21,1050,1170,120
EB-00056,,AST-2478,SEC-234,BVI,Maintenance Block,00:48,01:48,60,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-23,48,108,60
EB-00057,,AST-7138,SEC-174,MNGD,Maintenance Block,09:50,11:50,120,Signal Team,Planned,Normal,Existing/Committed,2025-06-09,590,710,120
EB-00058,,AST-4036,SEC-384,SV,Engineering Block,17:52,18:37,45,Track Maintenance Team,Active,Normal,Existing/Committed,2024-05-13,1072,1117,45
EB-00059,,AST-4089,SEC-029,NGE,Engineering Block,17:33,18:18,45,OHE Team,Active,High,Existing/Committed,2025-12-23,1053,1098,45
EB-00060,,AST-0618,SEC-080,PVR,Engineering Block,22:45,00:45,120,Signal Team,Confirmed,Normal,Existing/Committed,2025-10-24,1365,45,120
EB-00061,,AST-1571,SEC-398,KPD,Engineering Block,08:15,09:00,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-06-20,495,540,45
EB-00062,,AST-8210,SEC-056,SPT,Engineering Block,01:30,02:00,30,Signal Team,Confirmed,Normal,Existing/Committed,2025-12-24,90,120,30
EB-00063,,AST-4250,SEC-106,LKE,Engineering Block,03:59,05:29,90,OHE Team,Planned,High,Existing/Committed,2024-12-11,239,329,90
EB-00064,,AST-0244,SEC-386,DMM,Maintenance Block,06:36,07:06,30,Signal Team,Confirmed,Normal,Existing/Committed,2026-08-04,396,426,30
EB-00065,,AST-9120,SEC-130,HSR,Engineering Block,22:12,00:12,120,Signal Team,Confirmed,High,Existing/Committed,2025-01-24,1332,12,120
EB-00066,,AST-8532,SEC-081,GP,Maintenance Block,13:48,15:48,120,OHE Team,Active,Normal,Existing/Committed,2024-10-31,828,948,120
EB-00067,,AST-7517,SEC-155,MKDD,Maintenance Block,15:23,16:08,45,Signal Team,Confirmed,Normal,Existing/Committed,2026-06-03,923,968,45
EB-00068,,AST-5199,SEC-461,CHE,Maintenance Block,01:17,02:02,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-12-15,77,122,45
EB-00069,,AST-4133,SEC-065,PRR,Maintenance Block,12:58,13:58,60,Track Maintenance Team,Active,High,Existing/Committed,2024-02-25,778,838,60
EB-00070,,AST-5352,SEC-243,MMR,Planned Block,03:20,04:50,90,Track Maintenance Team,Active,Normal,Existing/Committed,2025-03-24,200,290,90
EB-00071,,AST-3779,SEC-259,ALER,Maintenance Block,20:19,21:04,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-02-13,1219,1264,45
EB-00072,,AST-1881,SEC-293,TDO,Maintenance Block,07:51,09:06,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-06-17,471,546,75
EB-00073,,AST-0496,SEC-317,VMD,Engineering Block,22:00,00:00,120,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-03-17,1320,0,120
EB-00074,,AST-4476,SEC-089,MGS,Maintenance Block,22:12,00:12,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-04-18,1332,12,120
EB-00075,,AST-3032,SEC-179,BKI,Planned Block,15:14,15:44,30,OHE Team,Active,High,Existing/Committed,2025-10-27,914,944,30
EB-00076,,AST-4678,SEC-169,DR,Maintenance Block,02:32,03:17,45,OHE Team,Planned,Normal,Existing/Committed,2025-03-30,152,197,45
EB-00077,,AST-6484,SEC-175,RJY,Maintenance Block,17:50,18:35,45,Track Maintenance Team,Planned,High,Existing/Committed,2024-11-05,1070,1115,45
EB-00078,,AST-5322,SEC-188,JUC,Engineering Block,08:17,08:47,30,Signal Team,Confirmed,Normal,Existing/Committed,2024-07-24,497,527,30
EB-00079,,AST-9013,SEC-080,BOY,Engineering Block,00:22,01:37,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-06-27,22,97,75
EB-00080,,AST-3318,SEC-425,SBB,Planned Block,10:13,10:58,45,Signal Team,Active,Normal,Existing/Committed,2025-10-10,613,658,45
EB-00081,,AST-6685,SEC-016,PJB,Maintenance Block,23:58,00:58,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2026-07-08,1438,58,60
EB-00082,,AST-8894,SEC-472,LKO,Maintenance Block,23:05,00:20,75,OHE Team,Active,Normal,Existing/Committed,2025-02-20,1385,20,75
EB-00083,,AST-0332,SEC-307,SMPA,Planned Block,08:10,09:10,60,Bridge Inspection Team,Active,High,Existing/Committed,2024-05-19,490,550,60
EB-00084,,AST-5622,SEC-417,MYS,Maintenance Block,15:03,16:18,75,OHE Team,Active,Normal,Existing/Committed,2026-03-22,903,978,75
EB-00085,,AST-3258,SEC-362,ND,Planned Block,13:20,14:50,90,Signal Team,Active,Normal,Existing/Committed,2025-08-31,800,890,90
EB-00086,,AST-6014,SEC-369,BRJN,Engineering Block,22:31,23:31,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-11-10,1351,1411,60
EB-00087,,AST-7785,SEC-033,BER,Maintenance Block,15:15,16:00,45,Signal Team,Active,Normal,Existing/Committed,2024-03-17,915,960,45
EB-00088,,AST-5387,SEC-208,ADI,Maintenance Block,20:48,21:18,30,Signal Team,Confirmed,Normal,Existing/Committed,2024-10-18,1248,1278,30
EB-00089,,AST-8319,SEC-072,KSG,Maintenance Block,11:02,11:32,30,OHE Team,Active,Normal,Existing/Committed,2026-01-16,662,692,30
EB-00090,,AST-0033,SEC-035,PNF,Maintenance Block,10:53,12:08,75,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-03-22,653,728,75
EB-00091,,AST-0935,SEC-097,PUNE,Maintenance Block,07:08,07:53,45,Signal Team,Active,Normal,Existing/Committed,2025-02-18,428,473,45
EB-00092,,AST-8574,SEC-087,DWX,Maintenance Block,20:27,21:12,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-22,1227,1272,45
EB-00093,,AST-2643,SEC-401,KNW,Engineering Block,09:19,09:49,30,Signal Team,Planned,Normal,Existing/Committed,2026-03-31,559,589,30
EB-00094,,AST-6811,SEC-261,CKTD,Maintenance Block,19:04,19:49,45,Bridge Inspection Team,Planned,Normal,Existing/Committed,2025-01-01,1144,1189,45
EB-00095,,AST-3232,SEC-083,BSB,Maintenance Block,22:04,22:34,30,Bridge Inspection Team,Active,Normal,Existing/Committed,2026-05-27,1324,1354,30
EB-00096,,AST-1466,SEC-246,ULT,Planned Block,11:02,12:02,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-09-24,662,722,60
EB-00097,,AST-8921,SEC-222,AGN,Engineering Block,09:54,11:09,75,Signal Team,Confirmed,Normal,Existing/Committed,2024-08-06,594,669,75
EB-00098,,AST-4112,SEC-306,KCG,Maintenance Block,06:57,07:57,60,Signal Team,Active,High,Existing/Committed,2025-10-23,417,477,60
EB-00099,,AST-5759,SEC-346,TPT,Planned Block,08:53,09:53,60,Bridge Inspection Team,Planned,Normal,Existing/Committed,2025-09-07,533,593,60
EB-00100,,AST-8993,SEC-313,UBL,Engineering Block,15:59,17:29,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-04-28,959,1049,90
EB-00101,,AST-1868,SEC-261,BPQ,Planned Block,05:25,07:25,120,OHE Team,Active,Normal,Existing/Committed,2026-03-22,325,445,120
EB-00102,,AST-7046,SEC-239,KUR,Engineering Block,16:28,17:13,45,Track Maintenance Team,Active,Normal,Existing/Committed,2024-06-27,988,1033,45
EB-00103,,AST-5785,SEC-358,BTD,Engineering Block,06:13,06:43,30,OHE Team,Active,Normal,Existing/Committed,2026-02-22,373,403,30
EB-00104,,AST-8611,SEC-257,BPRD,Maintenance Block,03:05,04:20,75,Signal Team,Planned,Normal,Existing/Committed,2023-12-18,185,260,75
EB-00105,,AST-7265,SEC-331,NED,Maintenance Block,23:59,01:29,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-14,1439,89,90
EB-00106,,AST-4780,SEC-376,MB,Maintenance Block,08:48,09:48,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-04,528,588,60
EB-00107,,AST-3614,SEC-414,JHS,Maintenance Block,08:44,09:29,45,Bridge Inspection Team,Active,High,Existing/Committed,2026-01-29,524,569,45
EB-00108,,AST-7025,SEC-362,JMU,Engineering Block,03:49,05:04,75,Signal Team,Confirmed,Normal,Existing/Committed,2025-10-05,229,304,75
EB-00109,,AST-9411,SEC-475,GRBL,Engineering Block,19:26,20:56,90,Bridge Inspection Team,Planned,High,Existing/Committed,2025-03-26,1166,1256,90
EB-00110,,AST-6833,SEC-245,KRBA,Maintenance Block,17:16,18:46,90,OHE Team,Confirmed,Normal,Existing/Committed,2025-11-15,1036,1126,90
EB-00111,,AST-8283,SEC-167,PNBE,Maintenance Block,07:49,09:49,120,OHE Team,Confirmed,Normal,Existing/Committed,2024-09-13,469,589,120
EB-00112,,AST-3553,SEC-167,NDLS,Planned Block,05:40,07:40,120,OHE Team,Planned,Normal,Existing/Committed,2026-01-29,340,460,120
EB-00113,,AST-6240,SEC-073,BALU,Engineering Block,07:53,09:08,75,Signal Team,Active,Normal,Existing/Committed,2025-06-18,473,548,75
EB-00114,,AST-8231,SEC-222,CKI,Maintenance Block,22:49,23:34,45,OHE Team,Confirmed,Normal,Existing/Committed,2025-03-13,1369,1414,45
EB-00115,,AST-3794,SEC-019,RJY,Planned Block,23:36,01:36,120,Signal Team,Active,Normal,Existing/Committed,2025-04-29,1416,96,120
EB-00116,,AST-1808,SEC-398,DHN,Maintenance Block,05:10,05:40,30,OHE Team,Confirmed,Normal,Existing/Committed,2025-07-01,310,340,30
EB-00117,,AST-0112,SEC-019,NN,Maintenance Block,12:21,12:51,30,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-01-17,741,771,30
EB-00118,,AST-4662,SEC-277,DOS,Planned Block,23:44,01:14,90,Signal Team,Confirmed,Normal,Existing/Committed,2024-04-28,1424,74,90
EB-00119,,AST-0717,SEC-114,CRJ,Maintenance Block,02:01,03:31,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-08-12,121,211,90
EB-00120,,AST-9142,SEC-480,KOTA,Maintenance Block,08:16,09:46,90,Signal Team,Active,High,Existing/Committed,2024-04-03,496,586,90
EB-00121,,AST-8053,SEC-243,CHI,Maintenance Block,11:40,13:10,90,Signal Team,Confirmed,Normal,Existing/Committed,2025-02-22,700,790,90
EB-00122,,AST-6882,SEC-062,SFC,Planned Block,17:18,19:18,120,Signal Team,Confirmed,High,Existing/Committed,2025-10-09,1038,1158,120
EB-00123,,AST-8952,SEC-214,ON,Maintenance Block,20:59,21:29,30,Signal Team,Active,Normal,Existing/Committed,2025-09-25,1259,1289,30
EB-00124,,AST-4229,SEC-459,SDAH,Maintenance Block,17:53,18:38,45,OHE Team,Confirmed,Normal,Existing/Committed,2025-03-26,1073,1118,45
EB-00125,,AST-1239,SEC-385,SV,Maintenance Block,07:28,08:13,45,Signal Team,Planned,High,Existing/Committed,2026-04-14,448,493,45
EB-00126,,AST-6676,SEC-191,BPL,Maintenance Block,09:47,11:17,90,Track Maintenance Team,Active,Normal,Existing/Committed,2025-06-28,587,677,90
EB-00127,,AST-0900,SEC-424,PTKC,Maintenance Block,08:33,09:18,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-02-28,513,558,45
EB-00128,,AST-1219,SEC-329,NDLS,Planned Block,11:56,12:41,45,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-01-13,716,761,45
EB-00129,,AST-6878,SEC-009,ALMR,Engineering Block,03:06,03:36,30,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-07-07,186,216,30
EB-00130,,AST-2955,SEC-167,NIRA,Maintenance Block,13:15,15:15,120,Signal Team,Confirmed,High,Existing/Committed,2025-09-05,795,915,120
EB-00131,,AST-5578,SEC-037,UMD,Planned Block,06:30,07:15,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-06-28,390,435,45
EB-00132,,AST-1883,SEC-275,NLE,Maintenance Block,01:10,03:10,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-06-16,70,190,120
EB-00133,,AST-3685,SEC-066,KY,Maintenance Block,11:52,13:52,120,Track Maintenance Team,Active,Normal,Existing/Committed,2024-03-10,712,832,120
EB-00134,,AST-4934,SEC-424,DR,Planned Block,10:21,11:06,45,Signal Team,Active,Normal,Existing/Committed,2025-06-22,621,666,45
EB-00135,,AST-3097,SEC-047,KCNR,Maintenance Block,18:32,20:02,90,OHE Team,Confirmed,High,Existing/Committed,2026-02-12,1112,1202,90
EB-00136,,AST-9761,SEC-278,DWP,Engineering Block,20:19,21:49,90,Signal Team,Confirmed,Normal,Existing/Committed,2024-10-09,1219,1309,90
EB-00137,,AST-2444,SEC-117,PGT,Planned Block,23:11,23:56,45,Bridge Inspection Team,Active,High,Existing/Committed,2025-08-04,1391,1436,45
EB-00138,,AST-5698,SEC-309,JUC,Planned Block,01:53,02:53,60,OHE Team,Active,Normal,Existing/Committed,2024-01-10,113,173,60
EB-00139,,AST-1997,SEC-227,BWM,Maintenance Block,01:35,03:35,120,OHE Team,Planned,Normal,Existing/Committed,2024-11-22,95,215,120
EB-00140,,AST-5309,SEC-345,PRR,Maintenance Block,14:45,16:00,75,Signal Team,Confirmed,Normal,Existing/Committed,2025-02-19,885,960,75
EB-00141,,AST-2277,SEC-103,BQP,Planned Block,17:37,18:37,60,Signal Team,Active,Normal,Existing/Committed,2026-08-19,1057,1117,60
EB-00142,,AST-1807,SEC-029,RHN,Maintenance Block,18:45,20:45,120,Track Maintenance Team,Active,High,Existing/Committed,2024-07-12,1125,1245,120
EB-00143,,AST-3311,SEC-364,BD,Planned Block,13:39,14:09,30,OHE Team,Planned,High,Existing/Committed,2024-09-12,819,849,30
EB-00144,,AST-8536,SEC-311,LSI,Maintenance Block,08:27,09:12,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-01-22,507,552,45
EB-00145,,AST-5112,SEC-357,MKU,Maintenance Block,17:14,19:14,120,Signal Team,Active,Normal,Existing/Committed,2026-08-29,1034,1154,120
EB-00146,,AST-4523,SEC-268,MZR,Maintenance Block,19:12,20:12,60,OHE Team,Active,Normal,Existing/Committed,2026-04-12,1152,1212,60
EB-00147,,AST-9784,SEC-496,DGLE,Maintenance Block,06:46,08:46,120,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-14,406,526,120
EB-00148,,AST-6963,SEC-237,DSJ,Maintenance Block,03:30,04:45,75,Bridge Inspection Team,Confirmed,High,Existing/Committed,2024-07-31,210,285,75
EB-00149,,AST-0288,SEC-025,DMO,Maintenance Block,16:19,17:34,75,Track Maintenance Team,Active,Normal,Existing/Committed,2026-03-11,979,1054,75
EB-00150,,AST-4595,SEC-083,RE,Maintenance Block,22:42,00:12,90,OHE Team,Active,High,Existing/Committed,2024-02-07,1362,12,90
EB-00151,,AST-7630,SEC-059,SPDR,Engineering Block,21:06,23:06,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-04-14,1266,1386,120
EB-00152,,AST-2456,SEC-142,RNG,Engineering Block,08:57,10:12,75,Bridge Inspection Team,Planned,High,Existing/Committed,2024-09-17,537,612,75
EB-00153,,AST-1052,SEC-202,TUP,Maintenance Block,16:30,18:00,90,Bridge Inspection Team,Confirmed,High,Existing/Committed,2026-06-15,990,1080,90
EB-00154,,AST-3639,SEC-150,BRC,Engineering Block,15:42,16:57,75,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-09-29,942,1017,75
EB-00155,,AST-5502,SEC-181,BHL,Maintenance Block,02:12,03:12,60,Track Maintenance Team,Active,High,Existing/Committed,2025-02-17,132,192,60
EB-00156,,AST-3919,SEC-274,KPRR,Engineering Block,08:22,09:07,45,Track Maintenance Team,Active,Normal,Existing/Committed,2025-10-02,502,547,45
EB-00157,,AST-1896,SEC-259,LUNI,Maintenance Block,12:02,13:02,60,OHE Team,Planned,Normal,Existing/Committed,2024-04-15,722,782,60
EB-00158,,AST-8810,SEC-332,KTE,Maintenance Block,03:10,03:55,45,OHE Team,Active,Normal,Existing/Committed,2025-06-20,190,235,45
EB-00159,,AST-0128,SEC-037,JTRD,Engineering Block,03:29,04:29,60,Track Maintenance Team,Active,Normal,Existing/Committed,2025-04-29,209,269,60
EB-00160,,AST-2180,SEC-177,BVI,Maintenance Block,10:22,11:22,60,Track Maintenance Team,Active,Normal,Existing/Committed,2026-02-01,622,682,60
EB-00161,,AST-1263,SEC-184,PGT,Maintenance Block,06:25,07:55,90,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-09-02,385,475,90
EB-00162,,AST-2482,SEC-402,DLI,Engineering Block,15:33,16:18,45,Track Maintenance Team,Active,Normal,Existing/Committed,2025-10-05,933,978,45
EB-00163,,AST-2248,SEC-034,ANGL,Maintenance Block,03:14,03:59,45,Signal Team,Planned,Normal,Existing/Committed,2025-01-23,194,239,45
EB-00164,,AST-6103,SEC-422,BWN,Engineering Block,19:25,20:10,45,Bridge Inspection Team,Active,High,Existing/Committed,2025-01-20,1165,1210,45
EB-00165,,AST-2947,SEC-201,BLS,Engineering Block,02:07,02:52,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-01-31,127,172,45
EB-00166,,AST-6153,SEC-172,BUI,Planned Block,14:31,15:31,60,OHE Team,Confirmed,Normal,Existing/Committed,2026-03-04,871,931,60
EB-00167,,AST-1851,SEC-243,SPJ,Maintenance Block,00:24,01:39,75,Bridge Inspection Team,Active,High,Existing/Committed,2024-10-27,24,99,75
EB-00168,,AST-9355,SEC-335,JMP,Maintenance Block,23:59,00:59,60,OHE Team,Planned,Normal,Existing/Committed,2024-05-25,1439,59,60
EB-00169,,AST-3009,SEC-123,DGR,Maintenance Block,15:16,17:16,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-11-09,916,1036,120
EB-00170,,AST-4787,SEC-404,LKR,Maintenance Block,11:35,12:35,60,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-02,695,755,60
EB-00171,,AST-2977,SEC-032,MSMD,Engineering Block,01:25,02:10,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-03-26,85,130,45
EB-00172,,AST-2790,SEC-367,GR,Engineering Block,05:00,06:15,75,OHE Team,Confirmed,Normal,Existing/Committed,2024-03-10,300,375,75
EB-00173,,AST-9083,SEC-082,QLD,Engineering Block,02:18,04:18,120,Signal Team,Confirmed,High,Existing/Committed,2026-01-20,138,258,120
EB-00174,,AST-4093,SEC-179,GGC,Planned Block,19:16,21:16,120,OHE Team,Confirmed,Normal,Existing/Committed,2025-12-02,1156,1276,120
EB-00175,,AST-7663,SEC-448,LKO,Engineering Block,05:38,07:08,90,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-11-06,338,428,90
EB-00176,,AST-7888,SEC-426,BVRT,Maintenance Block,16:26,17:41,75,Bridge Inspection Team,Active,High,Existing/Committed,2025-03-16,986,1061,75
