asset_id,asset_type,section_id,nearest_station_code,age_years,condition_score,failure_count_24m,days_since_last_maintenance,usage_percent,criticality,asset_risk_score,maintenance_priority
AST-0078,Bridge,SEC-042,LTT,34,50.63,1,449,91,Low,58.55,Medium
AST-0079,Signal,SEC-034,SGLA,33,47.74,6,829,67,Low,84.05,Critical
AST-0080,Bridge,SEC-004,BNC,33,39.22,4,477,31,High,81.76,Critical
AST-0081,Track,SEC-019,NN,30,48.72,5,742,100,High,91.46,Critical
AST-0082,Bridge,SEC-007,JL,9,71.86,0,241,23,Medium,31.28,Low
AST-0083,OHE,SEC-049,HWH,23,56.67,2,683,44,High,70.54,High
AST-0084,Signal,SEC-044,JHS,22,78.53,3,482,81,High,64.93,High
AST-0085,Track,SEC-027,HNL,1,84.69,0,302,30,Medium,27.44,Low
AST-0086,OHE,SEC-030,WR,35,31.06,2,757,39,Medium,70.23,High
AST-0087,Level Crossing,SEC-041,JBP,34,23.41,5,504,63,Critical,92.52,Critical
AST-0088,Track,SEC-049,HWH,12,68.9,4,380,99,High,65.83,High
AST-0089,Signal,SEC-041,GAR,25,51.08,1,22,90,Critical,53.43,Medium
AST-0090,Point Machine,SEC-043,HBJ,22,56.61,6,279,33,High,69.6,High
AST-0091,Signal,SEC-030,NGP,34,20.0,7,114,85,Low,89.15,Critical
AST-0092,Level Crossing,SEC-017,BAP,30,56.93,2,35,81,Low,37.36,Medium
AST-0093,Signal,SEC-029,DMN,16,53.84,2,148,49,Critical,47.84,Medium
AST-0094,Level Crossing,SEC-031,RKD,25,58.74,3,386,89,Critical,65.24,High
AST-0095,Track,SEC-044,ORAI,11,73.8,1,249,93,Low,34.93,Low
AST-0096,Bridge,SEC-045,LKO,3,94.02,0,527,39,Critical,42.2,Medium
AST-0097,Bridge,SEC-018,KPG,18,66.78,1,95,92,Critical,46.7,Medium
AST-0098,Point Machine,SEC-049,HWH,11,70.79,5,232,98,Low,55.48,Medium
AST-0099,Bridge,SEC-003,RU,26,60.07,7,577,78,Medium,81.46,Critical
AST-0100,Signal,SEC-023,MO,25,49.62,5,678,72,High,82.66,Critical
AST-0101,Track,SEC-050,MLDT,2,90.69,0,52,46,Critical,26.21,Low
AST-0102,Bridge,SEC-048,KUR,34,48.42,4,578,98,Critical,85.34,Critical
AST-0103,Bridge,SEC-011,LS,4,94.08,1,28,69,Critical,28.83,Low
AST-0104,OHE,SEC-038,HD,35,32.95,4,488,65,Medium,75.24,High
AST-0105,Point Machine,SEC-041,JBP,35,44.44,2,90,41,Medium,45.48,Medium
AST-0106,OHE,SEC-041,JBP,28,33.09,3,799,43,Medium,72.5,High
AST-0107,Point Machine,SEC-040,MML,27,44.57,5,699,43,Critical,86.65,Critical
AST-0108,Point Machine,SEC-010,NGN,15,67.49,1,837,21,High,60.85,High
AST-0109,Track,SEC-032,MRJ,13,92.58,3,735,52,Critical,56.54,Medium
AST-0110,OHE,SEC-004,DR,11,76.73,1,598,73,High,51.2,Medium
AST-0111,Signal,SEC-017,ANG,10,84.96,0,595,45,Medium,35.54,Medium
AST-0112,Track,SEC-019,NN,26,46.46,1,323,86,Critical,65.43,High
AST-0113,OHE,SEC-003,JTJ,9,97.51,3,257,26,High,38.52,Medium
AST-0114,Bridge,SEC-003,JTJ,22,64.45,1,18,31,Medium,39.46,Medium
AST-0115,Track,SEC-010,DHI,8,76.88,0,729,41,Medium,41.0,Medium
AST-0116,Level Crossing,SEC-030,WR,3,82.62,0,213,26,Medium,21.13,Low
AST-0117,OHE,SEC-043,HBJ,31,51.17,6,872,85,High,95.3,Critical
AST-0118,Level Crossing,SEC-003,JTJ,12,86.64,0,800,27,Medium,34.75,Low
AST-0119,Track,SEC-044,JHS,14,70.59,1,834,33,High,52.53,Medium
AST-0120,OHE,SEC-042,HBD,2,84.17,0,169,24,Medium,25.12,Low
AST-0121,Level Crossing,SEC-028,CND,23,60.59,3,689,95,High,69.19,High
AST-0122,Bridge,SEC-042,HBD,28,67.51,5,888,97,Low,76.65,High
AST-0123,Point Machine,SEC-010,NGN,26,63.07,3,496,39,Critical,59.83,Medium
AST-0124,Signal,SEC-022,NAVI,34,46.89,4,644,64,Medium,75.58,High
AST-0125,Signal,SEC-004,DR,21,64.86,3,224,62,High,62.81,High
AST-0126,Track,SEC-041,GAR,17,66.91,0,351,65,Critical,49.75,Medium
AST-0127,Bridge,SEC-010,DHI,31,53.89,3,591,52,Medium,58.79,Medium
AST-0128,Level Crossing,SEC-037,JTRD,13,79.51,5,371,94,Medium,56.46,Medium
AST-0129,Track,SEC-027,HNL,7,79.89,0,834,52,Medium,35.53,Medium
AST-0130,OHE,SEC-018,KPG,26,55.75,7,139,67,High,71.23,High
AST-0131,Track,SEC-050,MLDT,15,84.64,3,342,66,Low,42.4,Medium
AST-0132,OHE,SEC-018,BDWD,11,78.78,0,340,87,Medium,30.07,Low
AST-0133,Signal,SEC-014,PVR,29,29.19,4,465,26,High,79.86,High
AST-0134,Level Crossing,SEC-020,SEG,13,85.12,0,42,87,Low,18.69,Low
AST-0135,Signal,SEC-001,BBS,13,74.49,0,527,34,High,42.78,Medium
AST-0136,Signal,SEC-021,BD,8,70.14,0,670,38,Critical,53.64,Medium
AST-0137,Track,SEC-045,CNB,18,61.65,1,114,52,Medium,32.75,Low
AST-0138,Point Machine,SEC-011,LS,15,79.15,1,447,44,Critical,42.17,Medium
AST-0139,OHE,SEC-004,BNC,21,46.37,1,286,79,High,50.39,Medium
AST-0140,Bridge,SEC-045,LKO,32,42.88,1,567,79,Low,56.04,Medium
AST-0141,Track,SEC-022,SUR,27,54.19,3,136,63,High,51.33,Medium
AST-0142,OHE,SEC-018,KPG,34,49.14,4,624,81,Medium,67.25,High
AST-0143,Bridge,SEC-009,JMD,16,64.55,0,523,84,High,47.35,Medium
AST-0144,Signal,SEC-042,HBD,6,90.54,1,506,33,Low,31.52,Low
AST-0145,OHE,SEC-033,DLGN,21,65.4,4,412,62,High,58.34,Medium
AST-0146,Bridge,SEC-006,NK,18,67.97,1,13,71,High,47.81,Medium
AST-0147,Level Crossing,SEC-018,KPG,2,98.34,0,259,73,Medium,23.39,Low
AST-0148,OHE,SEC-033,KVK,16,67.08,1,123,27,High,32.82,Low
AST-0149,OHE,SEC-013,CSTM,15,70.0,1,852,39,Medium,48.9,Medium
AST-0150,Signal,SEC-032,HTK,6,89.14,0,293,24,High,27.21,Low
AST-0151,Track,SEC-045,CNB,2,97.35,0,89,28,Medium,18.59,Low
AST-0152,Signal,SEC-014,KMN,7,83.83,3,826,55,High,56.46,Medium
AST-0153,Level Crossing,SEC-032,HTK,35,52.16,2,392,81,High,62.18,High
AST-0154,Bridge,SEC-040,NU,21,58.79,1,248,72,High,46.3,Medium
AST-0155,OHE,SEC-016,DD,17,60.39,1,800,87,Critical,76.01,High
AST-0156,Bridge,SEC-041,GAR,35,37.35,7,16,77,Medium,66.28,High
AST-0157,OHE,SEC-014,KMN,11,71.8,0,861,64,Medium,37.72,Medium
AST-0158,Bridge,SEC-033,KVK,23,53.33,0,670,36,Critical,60.2,High
AST-0159,Signal,SEC-029,PLO,31,59.85,2,267,24,High,46.95,Medium
AST-0160,Track,SEC-019,NN,32,45.64,3,810,87,High,81.38,Critical
AST-0161,Track,SEC-045,CNB,10,87.8,3,789,36,Critical,65.51,High
AST-0162,Bridge,SEC-013,CSTM,14,78.33,1,294,70,Critical,46.64,Medium
AST-0163,Level Crossing,SEC-050,RPH,32,47.04,6,742,94,Medium,90.31,Critical
AST-0164,OHE,SEC-045,CNB,22,56.32,1,568,98,High,65.4,High
AST-0165,Track,SEC-039,ET,22,61.74,4,134,27,Medium,58.69,Medium
AST-0166,Point Machine,SEC-003,RU,3,88.56,1,16,40,High,23.5,Low
AST-0167,Track,SEC-014,PVR,2,94.98,0,608,77,Low,37.69,Medium
AST-0168,OHE,SEC-039,PPI,14,76.22,3,704,23,Medium,57.45,Medium
AST-0169,OHE,SEC-010,NGN,10,65.02,1,411,93,High,60.97,High
AST-0170,Level Crossing,SEC-030,NGP,20,65.77,1,704,74,High,65.09,High
AST-0171,Bridge,SEC-012,KSRA,34,36.75,3,82,49,Critical,65.45,High
AST-0172,OHE,SEC-016,BGVN,19,63.49,1,634,66,Critical,58.42,Medium
AST-0173,OHE,SEC-023,MO,33,53.83,3,143,35,Medium,50.89,Medium
AST-0174,Level Crossing,SEC-031,KOP,10,77.63,1,763,38,Medium,48.21,Medium
AST-0175,Level Crossing,SEC-013,JM,5,90.23,0,267,89,High,32.58,Low
AST-0176,Bridge,SEC-020,SEG,35,48.07,2,549,43,High,68.33,High
AST-0177,Signal,SEC-015,JEUR,24,59.27,2,854,35,High,59.96,Medium
AST-0178,Signal,SEC-045,CNB,13,78.83,0,856,76,Medium,43.97,Medium
AST-0179,Signal,SEC-017,ANG,27,57.83,2,498,33,High,58.52,Medium
AST-0180,Track,SEC-011,MMR,18,66.45,1,859,31,Medium,51.76,Medium
AST-0181,OHE,SEC-017,ANG,4,91.71,0,670,80,Medium,36.11,Medium
AST-0182,Signal,SEC-029,PLO,22,50.58,2,28,76,High,55.37,Medium
AST-0183,OHE,SEC-008,PC,22,62.37,4,283,39,High,60.59,High
AST-0184,Track,SEC-043,BINA,15,73.02,3,766,22,Critical,65.33,High
AST-0185,Bridge,SEC-021,BD,35,58.32,5,482,60,High,76.25,High
AST-0186,Point Machine,SEC-036,SGRE,9,82.82,0,474,89,High,47.36,Medium
AST-0187,OHE,SEC-002,VSKP,27,53.79,3,372,38,Critical,62.42,High
AST-0188,Point Machine,SEC-006,IGP,16,56.74,4,646,46,High,73.28,High
AST-0189,Point Machine,SEC-049,KGP,4,83.26,2,217,79,Medium,40.6,Medium
AST-0190,Level Crossing,SEC-033,DLGN,9,91.7,0,283,47,High,29.37,Low
AST-0191,Point Machine,SEC-017,ANG,21,65.49,2,668,36,High,61.62,High
AST-0192,OHE,SEC-047,VZM,15,72.73,0,53,58,Medium,24.04,Low
AST-0193,Track,SEC-001,BBS,8,84.37,1,149,82,Low,26.26,Low
AST-0194,Point Machine,SEC-027,PAU,14,73.86,0,213,25,High,30.47,Low
AST-0195,Level Crossing,SEC-046,KPD,34,50.79,3,602,44,Medium,63.64,High
AST-0196,OHE,SEC-013,JM,23,69.84,6,404,57,Medium,68.49,High
AST-0197,OHE,SEC-020,AK,17,72.17,2,340,60,Low,40.22,Medium
AST-0198,Point Machine,SEC-046,MAS,8,72.4,2,68,67,Low,29.31,Low
AST-0199,Track,SEC-006,IGP,21,55.55,0,451,28,High,49.2,Medium
AST-0200,OHE,SEC-049,HWH,24,41.01,1,412,40,High,59.18,Medium
