existing_block_id,linked_block_request_id,asset_id,section_id,station_code,block_type,start_time,end_time,duration_min,assigned_team,status,operational_priority,source,block_date,start_min,end_min,calculated_duration_min,station Code,Station Name
EB-00046,,AST-3214,SEC-493,PFM,Planned Block,21:46,22:46,60,Signal Team,Confirmed,High,Existing/Committed,2026-08-07,1306,1366,60,PFM,PHAPHAMAU JN
EB-00047,,AST-9369,SEC-042,KTE,Engineering Block,09:05,10:05,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-02-28,545,605,60,KTE,KATNI
EB-00048,,AST-7820,SEC-246,NIU,Engineering Block,21:49,22:34,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-05-22,1309,1354,45,NIU,NABIPUR
EB-00049,,AST-4769,SEC-192,DVL,Engineering Block,17:49,18:34,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-10-18,1069,1114,45,DVL,DEVLALI
EB-00050,,AST-8370,SEC-329,TDD,Maintenance Block,06:32,08:32,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-01-27,392,512,120,TDD,TADEPALLIGUDEM
EB-00051,,AST-6727,SEC-080,CLT,Planned Block,03:52,05:22,90,OHE Team,Active,Normal,Existing/Committed,2026-01-08,232,322,90,CLT,KOZHIKODE
EB-00052,,AST-2748,SEC-313,SLO,Maintenance Block,23:50,00:35,45,Bridge Inspection Team,Planned,Normal,Existing/Committed,2024-06-22,1430,35,45,SLO,SAMALKOT JN
EB-00053,,AST-5694,SEC-343,SRC,Engineering Block,21:53,23:08,75,Track Maintenance Team,Confirmed,High,Existing/Committed,2024-12-08,1313,1388,75,SRC,SANTRAGACHI JN
EB-00054,,AST-0906,SEC-236,UBC,Engineering Block,06:58,08:28,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-03-21,418,508,90,UBC,AMBALA CITY
EB-00055,,AST-8306,SEC-067,KYN,Engineering Block,17:30,19:30,120,OHE Team,Confirmed,Normal,Existing/Committed,2025-04-21,1050,1170,120,KYN,KALYAN JN
EB-00056,,AST-2478,SEC-234,BVI,Maintenance Block,00:48,01:48,60,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-23,48,108,60,BVI,BORIVALI
EB-00057,,AST-7138,SEC-174,MNGD,Maintenance Block,09:50,11:50,120,Signal Team,Planned,Normal,Existing/Committed,2025-06-09,590,710,120,MNGD,MUNIGUDA
EB-00058,,AST-4036,SEC-384,SV,Engineering Block,17:52,18:37,45,Track Maintenance Team,Active,Normal,Existing/Committed,2024-05-13,1072,1117,45,SV,SIWAN JN
EB-00059,,AST-4089,SEC-029,NGE,Engineering Block,17:33,18:18,45,OHE Team,Active,High,Existing/Committed,2025-12-23,1053,1098,45,NGE,NAGAR
EB-00060,,AST-0618,SEC-080,PVR,Engineering Block,22:45,00:45,120,Signal Team,Confirmed,Normal,Existing/Committed,2025-10-24,1365,45,120,PVR,PANDHARPUR
EB-00061,,AST-1571,SEC-398,KPD,Engineering Block,08:15,09:00,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-06-20,495,540,45,KPD,KATPADI JN
EB-00062,,AST-8210,SEC-056,SPT,Engineering Block,01:30,02:00,30,Signal Team,Confirmed,Normal,Existing/Committed,2025-12-24,90,120,30,SPT,SOMPETA
EB-00063,,AST-4250,SEC-106,LKE,Engineering Block,03:59,05:29,90,OHE Team,Planned,High,Existing/Committed,2024-12-11,239,329,90,LKE,LAKHERI
EB-00064,,AST-0244,SEC-386,DMM,Maintenance Block,06:36,07:06,30,Signal Team,Confirmed,Normal,Existing/Committed,2026-08-04,396,426,30,DMM,DHARMAVARAM JN
EB-00065,,AST-9120,SEC-130,HSR,Engineering Block,22:12,00:12,120,Signal Team,Confirmed,High,Existing/Committed,2025-01-24,1332,12,120,HSR,HISAR
EB-00066,,AST-8532,SEC-081,GP,Maintenance Block,13:48,15:48,120,OHE Team,Active,Normal,Existing/Committed,2024-10-31,828,948,120,GP,RAJ GANGPUR
EB-00067,,AST-7517,SEC-155,MKDD,Maintenance Block,15:23,16:08,45,Signal Team,Confirmed,Normal,Existing/Committed,2026-06-03,923,968,45,MKDD,MUKUNDAWADI HA
EB-00068,,AST-5199,SEC-461,CHE,Maintenance Block,01:17,02:02,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-12-15,77,122,45,CHE,SRIKAKULAM ROAD
EB-00069,,AST-4133,SEC-065,PRR,Maintenance Block,12:58,13:58,60,Track Maintenance Team,Active,High,Existing/Committed,2024-02-25,778,838,60,PRR,PURULIA JN
EB-00070,,AST-5352,SEC-243,MMR,Planned Block,03:20,04:50,90,Track Maintenance Team,Active,Normal,Existing/Committed,2025-03-24,200,290,90,MMR,MANMAD JN
EB-00071,,AST-3779,SEC-259,ALER,Maintenance Block,20:19,21:04,45,OHE Team,Confirmed,Normal,Existing/Committed,2026-02-13,1219,1264,45,ALER,ALER
EB-00072,,AST-1881,SEC-293,TDO,Maintenance Block,07:51,09:06,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-06-17,471,546,75,TDO,TANDA URMAR
EB-00073,,AST-0496,SEC-317,VMD,Engineering Block,22:00,00:00,120,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-03-17,1320,0,120,VMD,VADLAMANNADU
EB-00074,,AST-4476,SEC-089,MGS,Maintenance Block,22:12,00:12,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2024-04-18,1332,12,120,MGS,MUGHAL SARAI JN
EB-00075,,AST-3032,SEC-179,BKI,Planned Block,15:14,15:44,30,OHE Team,Active,High,Existing/Committed,2025-10-27,914,944,30,BKI,BANDIKUI JN
EB-00076,,AST-4678,SEC-169,DR,Maintenance Block,02:32,03:17,45,OHE Team,Planned,Normal,Existing/Committed,2025-03-30,152,197,45,DR,DADAR
EB-00077,,AST-6484,SEC-175,RJY,Maintenance Block,17:50,18:35,45,Track Maintenance Team,Planned,High,Existing/Committed,2024-11-05,1070,1115,45,RJY,RAJAHMUNDRY
EB-00078,,AST-5322,SEC-188,JUC,Engineering Block,08:17,08:47,30,Signal Team,Confirmed,Normal,Existing/Committed,2024-07-24,497,527,30,JUC,JALANDHAR CITY
EB-00079,,AST-9013,SEC-080,BOY,Engineering Block,00:22,01:37,75,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-06-27,22,97,75,BOY,BHADOHI
EB-00080,,AST-3318,SEC-425,SBB,Planned Block,10:13,10:58,45,Signal Team,Active,Normal,Existing/Committed,2025-10-10,613,658,45,SBB,SAHIBABAD
EB-00081,,AST-6685,SEC-016,PJB,Maintenance Block,23:58,00:58,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2026-07-08,1438,58,60,PJB,PANIAJOB
EB-00082,,AST-8894,SEC-472,LKO,Maintenance Block,23:05,00:20,75,OHE Team,Active,Normal,Existing/Committed,2025-02-20,1385,20,75,LKO,LUCKNOW NR
EB-00083,,AST-0332,SEC-307,SMPA,Planned Block,08:10,09:10,60,Bridge Inspection Team,Active,High,Existing/Committed,2024-05-19,490,550,60,SMPA,SHYAMPURA
EB-00084,,AST-5622,SEC-417,MYS,Maintenance Block,15:03,16:18,75,OHE Team,Active,Normal,Existing/Committed,2026-03-22,903,978,75,MYS,MYSORE JN
EB-00085,,AST-3258,SEC-362,ND,Planned Block,13:20,14:50,90,Signal Team,Active,Normal,Existing/Committed,2025-08-31,800,890,90,ND,NADIAD JN
EB-00086,,AST-6014,SEC-369,BRJN,Engineering Block,22:31,23:31,60,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2025-11-10,1351,1411,60,BRJN,BRAJRAJNAGAR
EB-00087,,AST-7785,SEC-033,BER,Maintenance Block,15:15,16:00,45,Signal Team,Active,Normal,Existing/Committed,2024-03-17,915,960,45,BER,BEAWAR
EB-00088,,AST-5387,SEC-208,ADI,Maintenance Block,20:48,21:18,30,Signal Team,Confirmed,Normal,Existing/Committed,2024-10-18,1248,1278,30,ADI,AHMEDABAD JN
EB-00089,,AST-8319,SEC-072,KSG,Maintenance Block,11:02,11:32,30,OHE Team,Active,Normal,Existing/Committed,2026-01-16,662,692,30,KSG,KISHANGARH
EB-00090,,AST-0033,SEC-035,PNF,Maintenance Block,10:53,12:08,75,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-03-22,653,728,75,PNF,PANGAON
EB-00091,,AST-0935,SEC-097,PUNE,Maintenance Block,07:08,07:53,45,Signal Team,Active,Normal,Existing/Committed,2025-02-18,428,473,45,PUNE,PUNE JN
EB-00092,,AST-8574,SEC-087,DWX,Maintenance Block,20:27,21:12,45,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-22,1227,1272,45,DWX,DEWAS
EB-00093,,AST-2643,SEC-401,KNW,Engineering Block,09:19,09:49,30,Signal Team,Planned,Normal,Existing/Committed,2026-03-31,559,589,30,KNW,KHANDWA
EB-00094,,AST-6811,SEC-261,CKTD,Maintenance Block,19:04,19:49,45,Bridge Inspection Team,Planned,Normal,Existing/Committed,2025-01-01,1144,1189,45,CKTD,CHITRAKOT
EB-00095,,AST-3232,SEC-083,BSB,Maintenance Block,22:04,22:34,30,Bridge Inspection Team,Active,Normal,Existing/Committed,2026-05-27,1324,1354,30,BSB,VARANASI JN
EB-00096,,AST-1466,SEC-246,ULT,Planned Block,11:02,12:02,60,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-09-24,662,722,60,ULT,KULTI
EB-00097,,AST-8921,SEC-222,AGN,Engineering Block,09:54,11:09,75,Signal Team,Confirmed,Normal,Existing/Committed,2024-08-06,594,669,75,AGN,AMGAON
EB-00098,,AST-4112,SEC-306,KCG,Maintenance Block,06:57,07:57,60,Signal Team,Active,High,Existing/Committed,2025-10-23,417,477,60,KCG,KACHEGUDA
EB-00099,,AST-5759,SEC-346,TPT,Planned Block,08:53,09:53,60,Bridge Inspection Team,Planned,Normal,Existing/Committed,2025-09-07,533,593,60,TPT,TIRUPATTUR JN
EB-00100,,AST-8993,SEC-313,UBL,Engineering Block,15:59,17:29,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-04-28,959,1049,90,UBL,HUBLI JN
EB-00101,,AST-1868,SEC-261,BPQ,Planned Block,05:25,07:25,120,OHE Team,Active,Normal,Existing/Committed,2026-03-22,325,445,120,BPQ,BALHARSHAH
EB-00102,,AST-7046,SEC-239,KUR,Engineering Block,16:28,17:13,45,Track Maintenance Team,Active,Normal,Existing/Committed,2024-06-27,988,1033,45,KUR,KHURDA ROAD JN
EB-00103,,AST-5785,SEC-358,BTD,Engineering Block,06:13,06:43,30,OHE Team,Active,Normal,Existing/Committed,2026-02-22,373,403,30,BTD,BOTAD JN
EB-00104,,AST-8611,SEC-257,BPRD,Maintenance Block,03:05,04:20,75,Signal Team,Planned,Normal,Existing/Committed,2023-12-18,185,260,75,BPRD,BARPETA ROAD
EB-00105,,AST-7265,SEC-331,NED,Maintenance Block,23:59,01:29,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-14,1439,89,90,NED,H SAHIB NANDED
EB-00106,,AST-4780,SEC-376,MB,Maintenance Block,08:48,09:48,60,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2026-02-04,528,588,60,MB,MORADABAD
EB-00107,,AST-3614,SEC-414,JHS,Maintenance Block,08:44,09:29,45,Bridge Inspection Team,Active,High,Existing/Committed,2026-01-29,524,569,45,JHS,JHANSI JN
EB-00108,,AST-7025,SEC-362,JMU,Engineering Block,03:49,05:04,75,Signal Team,Confirmed,Normal,Existing/Committed,2025-10-05,229,304,75,JMU,JAMUI
EB-00109,,AST-9411,SEC-475,GRBL,Engineering Block,19:26,20:56,90,Bridge Inspection Team,Planned,High,Existing/Committed,2025-03-26,1166,1256,90,GRBL,GARUDUBILLI
EB-00110,,AST-6833,SEC-245,KRBA,Maintenance Block,17:16,18:46,90,OHE Team,Confirmed,Normal,Existing/Committed,2025-11-15,1036,1126,90,KRBA,KORBA
EB-00111,,AST-8283,SEC-167,PNBE,Maintenance Block,07:49,09:49,120,OHE Team,Confirmed,Normal,Existing/Committed,2024-09-13,469,589,120,PNBE,PATNA JN
EB-00112,,AST-3553,SEC-167,NDLS,Planned Block,05:40,07:40,120,OHE Team,Planned,Normal,Existing/Committed,2026-01-29,340,460,120,NDLS,NEW DELHI
EB-00113,,AST-6240,SEC-073,BALU,Engineering Block,07:53,09:08,75,Signal Team,Active,Normal,Existing/Committed,2025-06-18,473,548,75,BALU,BALUGAON
EB-00114,,AST-8231,SEC-222,CKI,Maintenance Block,22:49,23:34,45,OHE Team,Confirmed,Normal,Existing/Committed,2025-03-13,1369,1414,45,CKI,CHALAKUDI
EB-00115,,AST-3794,SEC-019,RJY,Planned Block,23:36,01:36,120,Signal Team,Active,Normal,Existing/Committed,2025-04-29,1416,96,120,RJY,RAJAHMUNDRY
EB-00116,,AST-1808,SEC-398,DHN,Maintenance Block,05:10,05:40,30,OHE Team,Confirmed,Normal,Existing/Committed,2025-07-01,310,340,30,DHN,DHANBAD JN
EB-00117,,AST-0112,SEC-019,NN,Maintenance Block,12:21,12:51,30,Bridge Inspection Team,Active,Normal,Existing/Committed,2024-01-17,741,771,30,NN,NANDURA
EB-00118,,AST-4662,SEC-277,DOS,Planned Block,23:44,01:14,90,Signal Team,Confirmed,Normal,Existing/Committed,2024-04-28,1424,74,90,DOS,DEHRI ON SONE
EB-00119,,AST-0717,SEC-114,CRJ,Maintenance Block,02:01,03:31,90,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2024-08-12,121,211,90,CRJ,CHITTARANJAN
EB-00120,,AST-9142,SEC-480,KOTA,Maintenance Block,08:16,09:46,90,Signal Team,Active,High,Existing/Committed,2024-04-03,496,586,90,KOTA,KOTA JN
EB-00121,,AST-8053,SEC-243,CHI,Maintenance Block,11:40,13:10,90,Signal Team,Confirmed,Normal,Existing/Committed,2025-02-22,700,790,90,CHI,CHIPLUN
EB-00122,,AST-6882,SEC-062,SFC,Planned Block,17:18,19:18,120,Signal Team,Confirmed,High,Existing/Committed,2025-10-09,1038,1158,120,SFC,SAINTALA
EB-00123,,AST-8952,SEC-214,ON,Maintenance Block,20:59,21:29,30,Signal Team,Active,Normal,Existing/Committed,2025-09-25,1259,1289,30,ON,UNNAO JN
EB-00124,,AST-4229,SEC-459,SDAH,Maintenance Block,17:53,18:38,45,OHE Team,Confirmed,Normal,Existing/Committed,2025-03-26,1073,1118,45,SDAH,SEALDAH
EB-00125,,AST-1239,SEC-385,SV,Maintenance Block,07:28,08:13,45,Signal Team,Planned,High,Existing/Committed,2026-04-14,448,493,45,SV,SIWAN JN
EB-00126,,AST-6676,SEC-191,BPL,Maintenance Block,09:47,11:17,90,Track Maintenance Team,Active,Normal,Existing/Committed,2025-06-28,587,677,90,BPL,BHOPAL JN
EB-00127,,AST-0900,SEC-424,PTKC,Maintenance Block,08:33,09:18,45,OHE Team,Confirmed,Normal,Existing/Committed,2024-02-28,513,558,45,PTKC,PATHANKOT CANTT
EB-00128,,AST-1219,SEC-329,NDLS,Planned Block,11:56,12:41,45,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-01-13,716,761,45,NDLS,NEW DELHI
EB-00129,,AST-6878,SEC-009,ALMR,Engineering Block,03:06,03:36,30,Bridge Inspection Team,Confirmed,High,Existing/Committed,2025-07-07,186,216,30,ALMR,ALAMPUR
EB-00130,,AST-2955,SEC-167,NIRA,Maintenance Block,13:15,15:15,120,Signal Team,Confirmed,High,Existing/Committed,2025-09-05,795,915,120,NIRA,NIRA
EB-00131,,AST-5578,SEC-037,UMD,Planned Block,06:30,07:15,45,Track Maintenance Team,Planned,Normal,Existing/Committed,2025-06-28,390,435,45,UMD,USMANABAD
EB-00132,,AST-1883,SEC-275,NLE,Maintenance Block,01:10,03:10,120,Track Maintenance Team,Confirmed,Normal,Existing/Committed,2025-06-16,70,190,120,NLE,NILESHWAR
EB-00133,,AST-3685,SEC-066,KY,Maintenance Block,11:52,13:52,120,Track Maintenance Team,Active,Normal,Existing/Committed,2024-03-10,712,832,120,KY,KARELI
EB-00134,,AST-4934,SEC-424,DR,Planned Block,10:21,11:06,45,Signal Team,Active,Normal,Existing/Committed,2025-06-22,621,666,45,DR,DADAR
EB-00135,,AST-3097,SEC-047,KCNR,Maintenance Block,18:32,20:02,90,OHE Team,Confirmed,High,Existing/Committed,2026-02-12,1112,1202,90,KCNR,KACHNARA ROAD
EB-00136,,AST-9761,SEC-278,DWP,Engineering Block,20:19,21:49,90,Signal Team,Confirmed,Normal,Existing/Committed,2024-10-09,1219,1309,90,DWP,DWARAPUDI
EB-00137,,AST-2444,SEC-117,PGT,Planned Block,23:11,23:56,45,Bridge Inspection Team,Active,High,Existing/Committed,2025-08-04,1391,1436,45,PGT,PALAKKAD
EB-00138,,AST-5698,SEC-309,JUC,Planned Block,01:53,02:53,60,OHE Team,Active,Normal,Existing/Committed,2024-01-10,113,173,60,JUC,JALANDHAR CITY
EB-00139,,AST-1997,SEC-227,BWM,Maintenance Block,01:35,03:35,120,OHE Team,Planned,Normal,Existing/Committed,2024-11-22,95,215,120,BWM,BHAWANI MANDI
EB-00140,,AST-5309,SEC-345,PRR,Maintenance Block,14:45,16:00,75,Signal Team,Confirmed,Normal,Existing/Committed,2025-02-19,885,960,75,PRR,PURULIA JN
EB-00141,,AST-2277,SEC-103,BQP,Planned Block,17:37,18:37,60,Signal Team,Active,Normal,Existing/Committed,2026-08-19,1057,1117,60,BQP,BIGHAPUR
EB-00142,,AST-1807,SEC-029,RHN,Maintenance Block,18:45,20:45,120,Track Maintenance Team,Active,High,Existing/Committed,2024-07-12,1125,1245,120,RHN,ROSHANPUR
EB-00143,,AST-3311,SEC-364,BD,Planned Block,13:39,14:09,30,OHE Team,Planned,High,Existing/Committed,2024-09-12,819,849,30,BD,BADNERA JN
EB-00144,,AST-8536,SEC-311,LSI,Maintenance Block,08:27,09:12,45,Bridge Inspection Team,Active,Normal,Existing/Committed,2025-01-22,507,552,45,LSI,LAHERIA SARAI
EB-00145,,AST-5112,SEC-357,MKU,Maintenance Block,17:14,19:14,120,Signal Team,Active,Normal,Existing/Committed,2026-08-29,1034,1154,120,MKU,MALKAPUR
EB-00146,,AST-4523,SEC-268,MZR,Maintenance Block,19:12,20:12,60,OHE Team,Active,Normal,Existing/Committed,2026-04-12,1152,1212,60,MZR,MURTAJAPUR
EB-00147,,AST-9784,SEC-496,DGLE,Maintenance Block,06:46,08:46,120,Signal Team,Confirmed,Normal,Existing/Committed,2024-01-14,406,526,120,DGLE,DHULIAN GANGA
EB-00148,,AST-6963,SEC-237,DSJ,Maintenance Block,03:30,04:45,75,Bridge Inspection Team,Confirmed,High,Existing/Committed,2024-07-31,210,285,75,DSJ,DELHI SAFDARJNG
EB-00149,,AST-0288,SEC-025,DMO,Maintenance Block,16:19,17:34,75,Track Maintenance Team,Active,Normal,Existing/Committed,2026-03-11,979,1054,75,DMO,DAMOH
EB-00150,,AST-4595,SEC-083,RE,Maintenance Block,22:42,00:12,90,OHE Team,Active,High,Existing/Committed,2024-02-07,1362,12,90,RE,REWARI
EB-00151,,AST-7630,SEC-059,SPDR,Engineering Block,21:06,23:06,120,Bridge Inspection Team,Confirmed,Normal,Existing/Committed,2026-04-14,1266,1386,120,SPDR,SHEOPRASADNAGER
EB-00152,,AST-2456,SEC-142,RNG,Engineering Block,08:57,10:12,75,Bridge Inspection Team,Planned,High,Existing/Committed,2024-09-17,537,612,75,RNG,RANIGANJ
