block_request_id,asset_id,section_id,station_code,maintenance_type,requested_duration_min,priority,preferred_start_time,time_flexibility,required_team,request_urgency,status,preferred_start_min,flexibility_min,earliest_start_min,latest_start_min,station Code,Station Name
BR-0046,AST-0063,SEC-019,MKU,Bridge Inspection,60,Low,05:30,Fixed,Signal Team,Normal,Pending,330,0,330,330,MKU,MALKAPUR
BR-0047,AST-0114,SEC-003,JTJ,OHE Inspection,120,Medium,21:00,±30 min,Signal Team,Normal,Pending,1260,30,1230,1290,JTJ,JOLARPETTAI
BR-0048,AST-0126,SEC-041,GAR,Track Renewal,75,Medium,20:45,±60 min,Bridge Inspection Team,Normal,Pending,1245,60,1185,1305,GAR,GADARWARA
BR-0049,AST-0047,SEC-017,ANG,Track Inspection,45,Critical,02:30,±30 min,Bridge Inspection Team,Normal,Pending,150,30,120,180,ANG,AHMADNAGAR
BR-0050,AST-0135,SEC-001,BBS,Track Inspection,75,Medium,02:00,±60 min,OHE Team,Normal,Pending,120,60,60,180,BBS,BHUBANESWAR
BR-0051,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,04:45,±30 min,OHE Team,Normal,Pending,285,30,255,315,BD,BADNERA JN
BR-0052,AST-0104,SEC-038,HD,Signal Maintenance,45,High,22:00,Fixed,Signal Team,Normal,Pending,1320,0,1320,1320,HD,HARDA
BR-0053,AST-0075,SEC-036,ARAG,Point Machine Maintenance,60,Medium,02:45,±30 min,Track Maintenance Team,Normal,Pending,165,30,135,195,ARAG,ARAG
BR-0054,AST-0045,SEC-030,NGP,Track Inspection,120,High,18:30,±15 min,OHE Team,Urgent,Pending,1110,15,1095,1125,NGP,NAGPUR
BR-0055,AST-0124,SEC-022,NAVI,Rail Grinding,75,High,15:15,±15 min,Track Maintenance Team,Normal,Pending,915,15,900,930,NAVI,NEW AMRAVATI
BR-0056,AST-0159,SEC-029,PLO,OHE Inspection,60,Medium,01:30,±60 min,Bridge Inspection Team,Normal,Pending,90,60,30,150,PLO,PULGAON JN
BR-0057,AST-0027,SEC-026,PRLI,Track Inspection,90,High,21:00,±60 min,Track Maintenance Team,Normal,Pending,1260,60,1200,1320,PRLI,PARLI VAIJNATH
BR-0058,AST-0013,SEC-002,VSKP,Track Inspection,90,Medium,20:30,±30 min,Signal Team,Normal,Pending,1230,30,1200,1260,VSKP,VISAKHAPATNAM
BR-0059,AST-0183,SEC-008,PC,Signal Maintenance,120,High,22:45,±30 min,Bridge Inspection Team,Normal,Pending,1365,30,1335,1395,PC,PACHORA JN
BR-0060,AST-0148,SEC-033,KVK,Signal Maintenance,45,Low,17:15,±30 min,Track Maintenance Team,Urgent,Pending,1035,30,1005,1065,KVK,KAVATHE MAHANKL
BR-00061,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,15:00,±30 min,Bridge Inspection Team,Urgent,Pending,900,30,870,930,DLGN,DHALGAON
BR-00062,AST-0183,SEC-008,PC,Signal Maintenance,45,High,16:30,±30 min,Bridge Inspection Team,Normal,Pending,990,30,960,1020,PC,PACHORA JN
BR-00063,AST-0197,SEC-020,AK,OHE Inspection,45,Medium,09:45,±30 min,Track Maintenance Team,Urgent,Pending,585,30,555,615,AK,AKOLA JN
BR-00064,AST-0139,SEC-004,BNC,Signal Maintenance,30,Medium,17:45,±30 min,Track Maintenance Team,Urgent,Pending,1065,30,1035,1095,BNC,BANGALORE CANT
BR-00065,AST-0059,SEC-021,BD,Track Renewal,60,Medium,04:30,±30 min,Signal Team,Urgent,Pending,270,30,240,300,BD,BADNERA JN
BR-00066,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,±30 min,Signal Team,Normal,Pending,45,30,15,75,VSKP,VISAKHAPATNAM
BR-00067,AST-0194,SEC-027,PAU,Rail Grinding,75,Low,19:15,±15 min,OHE Team,Urgent,Pending,1155,15,1140,1170,PAU,PURNA JN
BR-00068,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,01:30,±15 min,OHE Team,Normal,Pending,90,15,75,105,BD,BADNERA JN
BR-00069,AST-0126,SEC-041,GAR,Track Renewal,30,Medium,01:00,±30 min,Bridge Inspection Team,Normal,Pending,60,30,30,90,GAR,GADARWARA
BR-00070,AST-0021,SEC-021,MZR,Signal Maintenance,30,High,03:30,±15 min,OHE Team,Normal,Pending,210,15,195,225,MZR,MURTAJAPUR
BR-00071,AST-0059,SEC-021,BD,Rail Grinding,30,Medium,03:15,±30 min,Track Maintenance Team,Normal,Pending,195,30,165,225,BD,BADNERA JN
BR-00072,AST-0171,SEC-012,KSRA,Track Inspection,30,High,17:15,Fixed,Track Maintenance Team,Normal,Pending,1035,0,1035,1035,KSRA,KASARA
BR-00073,AST-0049,SEC-025,LTRR,Track Renewal,60,Medium,18:00,±60 min,OHE Team,Normal,Pending,1080,60,1020,1140,LTRR,LATUR ROAD
BR-00074,AST-0143,SEC-009,JMD,Track Inspection,30,Medium,17:00,±60 min,OHE Team,Urgent,Pending,1020,60,960,1080,JMD,JAMDHA
BR-00075,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,±30 min,Signal Team,Normal,Pending,45,30,15,75,VSKP,VISAKHAPATNAM
BR-00076,AST-0124,SEC-022,NAVI,Rail Grinding,75,High,11:45,Fixed,Track Maintenance Team,Normal,Pending,705,0,705,705,NAVI,NEW AMRAVATI
BR-00077,AST-0027,SEC-026,PRLI,Track Inspection,45,High,16:45,±30 min,Track Maintenance Team,Normal,Pending,1005,30,975,1035,PRLI,PARLI VAIJNATH
BR-00078,AST-0189,SEC-049,KGP,Track Renewal,30,Medium,21:15,±15 min,Bridge Inspection Team,Normal,Pending,1275,15,1260,1290,KGP,KHARAGPUR JN
BR-00079,AST-0042,SEC-020,SEG,Track Inspection,45,Low,02:15,±30 min,Track Maintenance Team,Normal,Pending,135,30,105,165,SEG,SHEGAON
BR-00080,AST-0008,SEC-017,ANG,Track Renewal,60,Low,17:15,Fixed,OHE Team,Urgent,Pending,1035,0,1035,1035,ANG,AHMADNAGAR
BR-00081,AST-0148,SEC-033,KVK,Signal Maintenance,30,Low,19:15,±30 min,Track Maintenance Team,Urgent,Pending,1155,30,1125,1185,KVK,KAVATHE MAHANKL
BR-00082,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,03:15,±30 min,OHE Team,Normal,Pending,195,30,165,225,BD,BADNERA JN
BR-00083,AST-0090,SEC-043,HBJ,OHE Inspection,30,High,19:45,±30 min,Signal Team,Normal,Pending,1185,30,1155,1215,HBJ,HABIBGANJ
BR-00084,AST-0063,SEC-019,MKU,Bridge Inspection,30,Low,13:45,±15 min,Signal Team,Normal,Pending,825,15,810,840,MKU,MALKAPUR
BR-00085,AST-0027,SEC-026,PRLI,Track Inspection,45,High,20:15,±30 min,Track Maintenance Team,Normal,Pending,1215,30,1185,1245,PRLI,PARLI VAIJNATH
BR-00086,AST-0127,SEC-010,DHI,Point Machine Maintenance,60,Medium,20:30,Fixed,Signal Team,Urgent,Pending,1230,0,1230,1230,DHI,DHULE
BR-00087,AST-0183,SEC-008,PC,Signal Maintenance,30,High,06:45,±60 min,Bridge Inspection Team,Normal,Pending,405,60,345,465,PC,PACHORA JN
BR-00088,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±15 min,Track Maintenance Team,Normal,Pending,1275,15,1260,1290,KGP,KHARAGPUR JN
BR-00089,AST-0143,SEC-009,JMD,Track Inspection,60,Medium,14:15,±30 min,OHE Team,Urgent,Pending,855,30,825,885,JMD,JAMDHA
BR-00090,AST-0171,SEC-012,KSRA,Track Inspection,45,High,06:45,±30 min,Track Maintenance Team,Normal,Pending,405,30,375,435,KSRA,KASARA
BR-00091,AST-0136,SEC-021,BD,Signal Maintenance,45,Medium,03:15,±60 min,OHE Team,Normal,Pending,195,60,135,255,BD,BADNERA JN
BR-00092,AST-0141,SEC-022,SUR,Point Machine Maintenance,30,Medium,10:30,±30 min,Track Maintenance Team,Normal,Pending,630,30,600,660,SUR,SOLAPUR JN
BR-00093,AST-0059,SEC-021,BD,Track Renewal,45,Medium,03:15,±15 min,Signal Team,Urgent,Pending,195,15,180,210,BD,BADNERA JN
BR-00094,AST-0124,SEC-022,NAVI,Signal Maintenance,120,High,15:15,±60 min,Track Maintenance Team,Urgent,Pending,915,60,855,975,NAVI,NEW AMRAVATI
BR-00095,AST-0121,SEC-028,CND,Track Renewal,60,High,14:00,±30 min,Track Maintenance Team,Urgent,Pending,840,30,810,870,CND,CHANDUR
BR-00096,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,10:00,±30 min,Bridge Inspection Team,Normal,Pending,600,30,570,630,BINA,BINA JN
BR-00097,AST-0143,SEC-009,JMD,Track Inspection,60,Medium,07:30,±30 min,OHE Team,Urgent,Pending,450,30,420,480,JMD,JAMDHA
BR-00098,AST-0059,SEC-021,BD,Rail Grinding,45,Medium,15:15,±30 min,Track Maintenance Team,Normal,Pending,915,30,885,945,BD,BADNERA JN
BR-00099,AST-0059,SEC-021,BD,Rail Grinding,45,Medium,01:00,±15 min,Track Maintenance Team,Normal,Pending,60,15,45,75,BD,BADNERA JN
BR-00100,AST-0059,SEC-021,BD,Track Renewal,30,Medium,11:45,±30 min,Signal Team,Urgent,Pending,705,30,675,735,BD,BADNERA JN
BR-00101,AST-0027,SEC-026,PRLI,Track Inspection,30,High,12:45,±15 min,Track Maintenance Team,Normal,Pending,765,15,750,780,PRLI,PARLI VAIJNATH
BR-00102,AST-0027,SEC-026,PRLI,Track Inspection,30,High,20:30,±60 min,Track Maintenance Team,Normal,Pending,1230,60,1170,1290,PRLI,PARLI VAIJNATH
BR-00103,AST-0136,SEC-021,BD,Signal Maintenance,30,Medium,15:30,±30 min,OHE Team,Normal,Pending,930,30,900,960,BD,BADNERA JN
BR-00104,AST-0104,SEC-038,HD,Signal Maintenance,60,High,04:15,±30 min,Signal Team,Normal,Pending,255,30,225,285,HD,HARDA
BR-00105,AST-0047,SEC-017,ANG,Track Inspection,30,Critical,01:00,±30 min,Bridge Inspection Team,Normal,Pending,60,30,30,90,ANG,AHMADNAGAR
BR-00106,AST-0113,SEC-003,JTJ,Track Renewal,30,Medium,15:15,±30 min,OHE Team,Urgent,Pending,915,30,885,945,JTJ,JOLARPETTAI
BR-00107,AST-0090,SEC-043,HBJ,OHE Inspection,30,High,02:30,±30 min,Signal Team,Normal,Pending,150,30,120,180,HBJ,HABIBGANJ
BR-00108,AST-0121,SEC-028,CND,Track Renewal,75,High,04:15,±30 min,Track Maintenance Team,Urgent,Pending,255,30,225,285,CND,CHANDUR
BR-00109,AST-0077,SEC-033,DLGN,Track Renewal,30,Low,10:15,Fixed,Bridge Inspection Team,Urgent,Pending,615,0,615,615,DLGN,DHALGAON
BR-00110,AST-0126,SEC-041,GAR,Track Renewal,30,Medium,05:30,±15 min,Bridge Inspection Team,Normal,Pending,330,15,315,345,GAR,GADARWARA
BR-00111,AST-0124,SEC-022,NAVI,Rail Grinding,120,High,15:00,±30 min,Track Maintenance Team,Normal,Pending,900,30,870,930,NAVI,NEW AMRAVATI
BR-00112,AST-0012,SEC-015,JEUR,Signal Maintenance,60,Low,10:15,±30 min,Bridge Inspection Team,Urgent,Pending,615,30,585,645,JEUR,JEUR
BR-00113,AST-0171,SEC-012,KSRA,Track Inspection,30,High,00:45,±30 min,Track Maintenance Team,Normal,Pending,45,30,15,75,KSRA,KASARA
BR-00114,AST-0124,SEC-022,NAVI,Signal Maintenance,45,High,12:00,Fixed,Track Maintenance Team,Urgent,Pending,720,0,720,720,NAVI,NEW AMRAVATI
BR-00115,AST-0086,SEC-030,WR,Track Inspection,60,High,12:45,±30 min,Track Maintenance Team,Normal,Pending,765,30,735,795,WR,WARDHA JN
BR-00116,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,±15 min,Track Maintenance Team,Normal,Pending,1275,15,1260,1290,KGP,KHARAGPUR JN
BR-00117,AST-0121,SEC-028,CND,Track Renewal,45,High,16:15,Fixed,Track Maintenance Team,Urgent,Pending,975,0,975,975,CND,CHANDUR
BR-00118,AST-0049,SEC-025,LTRR,Track Renewal,30,Medium,02:30,±30 min,OHE Team,Normal,Pending,150,30,120,180,LTRR,LATUR ROAD
BR-00119,AST-0148,SEC-033,KVK,Signal Maintenance,90,Low,15:45,±30 min,Track Maintenance Team,Urgent,Pending,945,30,915,975,KVK,KAVATHE MAHANKL
BR-00120,AST-0027,SEC-026,PRLI,Track Inspection,30,High,01:00,Fixed,Track Maintenance Team,Normal,Pending,60,0,60,60,PRLI,PARLI VAIJNATH
BR-00121,AST-0012,SEC-015,JEUR,Signal Maintenance,120,Low,07:45,±30 min,Bridge Inspection Team,Urgent,Pending,465,30,435,495,JEUR,JEUR
BR-00122,AST-0027,SEC-026,PRLI,Track Inspection,30,High,18:30,±30 min,Track Maintenance Team,Normal,Pending,1110,30,1080,1140,PRLI,PARLI VAIJNATH
BR-00123,AST-0070,SEC-018,BDWD,Track Inspection,90,Medium,10:15,±30 min,Signal Team,Urgent,Pending,615,30,585,645,BDWD,BODWAD
BR-00124,AST-0008,SEC-017,ANG,Track Renewal,30,Low,06:30,±15 min,OHE Team,Urgent,Pending,390,15,375,405,ANG,AHMADNAGAR
BR-00125,AST-0124,SEC-022,NAVI,Rail Grinding,90,High,12:15,±30 min,Track Maintenance Team,Normal,Pending,735,30,705,765,NAVI,NEW AMRAVATI
BR-00126,AST-0113,SEC-003,JTJ,Track Renewal,30,Medium,22:15,±30 min,OHE Team,Urgent,Pending,1335,30,1305,1365,JTJ,JOLARPETTAI
BR-00127,AST-0159,SEC-029,PLO,OHE Inspection,45,Medium,13:15,Fixed,Bridge Inspection Team,Normal,Pending,795,0,795,795,PLO,PULGAON JN
BR-00128,AST-0082,SEC-007,JL,Track Renewal,30,Low,09:45,±15 min,Bridge Inspection Team,Urgent,Pending,585,15,570,600,JL,JALGAON JN
BR-00129,AST-0070,SEC-018,BDWD,Track Inspection,30,Medium,10:00,±30 min,Signal Team,Urgent,Pending,600,30,570,630,BDWD,BODWAD
BR-00130,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,±15 min,Signal Team,Normal,Pending,45,15,30,60,VSKP,VISAKHAPATNAM
BR-00131,AST-0124,SEC-022,NAVI,Signal Maintenance,90,High,11:15,±30 min,Track Maintenance Team,Urgent,Pending,675,30,645,705,NAVI,NEW AMRAVATI
BR-00132,AST-0059,SEC-021,BD,Track Renewal,30,Medium,11:45,Fixed,Signal Team,Urgent,Pending,705,0,705,705,BD,BADNERA JN
BR-00133,AST-0070,SEC-018,BDWD,Track Inspection,60,Medium,17:00,Fixed,Signal Team,Urgent,Pending,1020,0,1020,1020,BDWD,BODWAD
BR-00134,AST-0189,SEC-049,KGP,Track Inspection,30,Medium,21:15,Fixed,Track Maintenance Team,Normal,Pending,1275,0,1275,1275,KGP,KHARAGPUR JN
BR-00135,AST-0059,SEC-021,BD,Track Renewal,60,Medium,01:00,Fixed,Signal Team,Urgent,Pending,60,0,60,60,BD,BADNERA JN
BR-00136,AST-0059,SEC-021,BD,Rail Grinding,30,Medium,11:45,±30 min,Track Maintenance Team,Normal,Pending,705,30,675,735,BD,BADNERA JN
BR-00137,AST-0098,SEC-049,HWH,Track Inspection,30,Medium,02:00,±30 min,OHE Team,Normal,Pending,120,30,90,150,HWH,HOWRAH JN
BR-00138,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,Fixed,Bridge Inspection Team,Normal,Pending,795,0,795,795,BINA,BINA JN
BR-00139,AST-0126,SEC-041,GAR,Track Renewal,60,Medium,05:00,Fixed,Bridge Inspection Team,Normal,Pending,300,0,300,300,GAR,GADARWARA
BR-00140,AST-0070,SEC-018,BDWD,Track Inspection,45,Medium,17:45,±30 min,Signal Team,Urgent,Pending,1065,30,1035,1095,BDWD,BODWAD
BR-00141,AST-0075,SEC-036,ARAG,Point Machine Maintenance,75,Medium,12:30,±30 min,Track Maintenance Team,Normal,Pending,750,30,720,780,ARAG,ARAG
BR-00142,AST-0114,SEC-003,JTJ,OHE Inspection,30,Medium,15:15,±30 min,Signal Team,Normal,Pending,915,30,885,945,JTJ,JOLARPETTAI
BR-00143,AST-0075,SEC-036,ARAG,OHE Inspection,60,Medium,13:45,Fixed,Bridge Inspection Team,Normal,Pending,825,0,825,825,ARAG,ARAG
BR-00144,AST-0075,SEC-036,ARAG,Point Machine Maintenance,90,Medium,12:30,±15 min,Track Maintenance Team,Normal,Pending,750,15,735,765,ARAG,ARAG
BR-00145,AST-0136,SEC-021,BD,Signal Maintenance,45,Medium,03:15,±30 min,OHE Team,Normal,Pending,195,30,165,225,BD,BADNERA JN
BR-00146,AST-0021,SEC-021,MZR,Signal Maintenance,90,High,15:00,±30 min,OHE Team,Normal,Pending,900,30,870,930,MZR,MURTAJAPUR
BR-00147,AST-0070,SEC-018,BDWD,Track Inspection,30,Medium,17:00,±30 min,Signal Team,Urgent,Pending,1020,30,990,1050,BDWD,BODWAD
BR-00148,AST-0070,SEC-018,BDWD,Track Inspection,60,Medium,15:15,Fixed,Signal Team,Urgent,Pending,915,0,915,915,BDWD,BODWAD
BR-00149,AST-0013,SEC-002,VSKP,Track Inspection,30,Medium,00:45,Fixed,Signal Team,Normal,Pending,45,0,45,45,VSKP,VISAKHAPATNAM
BR-00150,AST-0072,SEC-043,BINA,Track Inspection,30,Medium,13:15,±30 min,Bridge Inspection Team,Normal,Pending,795,30,765,825,BINA,BINA JN
BR-00151,AST-0027,SEC-026,PRLI,Track Inspection,45,High,20:15,±30 min,Track Maintenance Team,Normal,Pending,1215,30,1185,1245,PRLI,PARLI VAIJNATH
BR-00152,AST-0077,SEC-033,DLGN,Track Renewal,45,Low,18:45,±30 min,Bridge Inspection Team,Urgent,Pending,1125,30,1095,1155,DLGN,DHALGAON
BR-00153,AST-0104,SEC-038,HD,Signal Maintenance,30,High,22:15,±30 min,Signal Team,Normal,Pending,1335,30,1305,1365,HD,HARDA
BR-00154,AST-0098,SEC-049,HWH,Track Inspection,60,Medium,01:30,Fixed,OHE Team,Normal,Pending,90,0,90,90,HWH,HOWRAH JN
BR-00155,AST-0194,SEC-027,PAU,Rail Grinding,30,Low,12:00,±30 min,OHE Team,Urgent,Pending,720,30,690,750,PAU,PURNA JN
BR-00156,AST-0177,SEC-015,JEUR,Signal Maintenance,90,Medium,13:45,±30 min,Signal Team,Urgent,Pending,825,30,795,855,JEUR,JEUR
BR-00157,AST-0141,SEC-022,SUR,Point Machine Maintenance,30,Medium,02:00,±30 min,Track Maintenance Team,Normal,Pending,120,30,90,150,SUR,SOLAPUR JN
BR-00158,AST-0177,SEC-015,JEUR,Signal Maintenance,45,Medium,10:15,±30 min,Signal Team,Urgent,Pending,615,30,585,645,JEUR,JEUR
BR-00159,AST-0104,SEC-038,HD,Signal Maintenance,60,High,04:00,±60 min,Signal Team,Normal,Pending,240,60,180,300,HD,HARDA
BR-00160,AST-0121,SEC-028,CND,Track Renewal,45,High,08:15,±30 min,Track Maintenance Team,Urgent,Pending,495,30,465,525,CND,CHANDUR
BR-00161,AST-0027,SEC-026,PRLI,Track Inspection,90,High,13:45,Fixed,Track Maintenance Team,Normal,Pending,825,0,825,825,PRLI,PARLI VAIJNATH
BR-00162,AST-0027,SEC-026,PRLI,Track Inspection,60,High,16:30,Fixed,Track Maintenance Team,Normal,Pending,990,0,990,990,PRLI,PARLI VAIJNATH
BR-00163,AST-0127,SEC-010,DHI,Point Machine Maintenance,45,Medium,05:45,±60 min,Signal Team,Urgent,Pending,345,60,285,405,DHI,DHULE
BR-00164,AST-0027,SEC-026,PRLI,Track Inspection,30,High,05:00,Fixed,Track Maintenance Team,Normal,Pending,300,0,300,300,PRLI,PARLI VAIJNATH
BR-00165,AST-0012,SEC-015,JEUR,Signal Maintenance,45,Low,18:30,Fixed,Bridge Inspection Team,Urgent,Pending,1110,0,1110,1110,JEUR,JEUR
BR-00166,AST-0127,SEC-010,DHI,Point Machine Maintenance,90,Medium,19:30,±30 min,Signal Team,Urgent,Pending,1170,30,1140,1200,DHI,DHULE
