asset_id,asset_type,section_id,nearest_station_code,age_years,condition_score,failure_count_24m,days_since_last_maintenance,usage_percent,criticality,asset_risk_score,maintenance_priority
AST-0078,Bridge,SEC-042,LTT,34,50.63,1,449,91,Low,58.55,Medium
AST-0079,Signal,SEC-034,SGLA,33,47.74,6,829,67,Low,84.05,Critical
AST-0080,Bridge,SEC-004,BNC,33,39.22,4,477,31,High,81.76,Critical
AST-0081,Track,SEC-019,NN,30,48.72,5,742,100,High,91.46,Critical
AST-0082,Bridge,SEC-007,JL,9,71.86,0,241,23,Medium,31.28,Low
AST-0083,OHE,SEC-049,HWH,23,56.67,2,683,44,High,70.54,High
AST-0084,Signal,SEC-044,JHS,22,78.53,3,482,81,High,64.93,High
AST-0085,Track,SEC-027,HNL,1,84.69,0,302,30,Medium,27.44,Low
AST-0086,OHE,SEC-030,WR,35,31.06,2,757,39,Medium,70.23,High
AST-0087,Level Crossing,SEC-041,JBP,34,23.41,5,504,63,Critical,92.52,Critical
AST-0088,Track,SEC-049,HWH,12,68.9,4,380,99,High,65.83,High
AST-0089,Signal,SEC-041,GAR,25,51.08,1,22,90,Critical,53.43,Medium
AST-0090,Point Machine,SEC-043,HBJ,22,56.61,6,279,33,High,69.6,High
AST-0091,Signal,SEC-030,NGP,34,20.0,7,114,85,Low,89.15,Critical
AST-0092,Level Crossing,SEC-017,BAP,30,56.93,2,35,81,Low,37.36,Medium
AST-0093,Signal,SEC-029,DMN,16,53.84,2,148,49,Critical,47.84,Medium
AST-0094,Level Crossing,SEC-031,RKD,25,58.74,3,386,89,Critical,65.24,High
AST-0095,Track,SEC-044,ORAI,11,73.8,1,249,93,Low,34.93,Low
AST-0096,Bridge,SEC-045,LKO,3,94.02,0,527,39,Critical,42.2,Medium
AST-0097,Bridge,SEC-018,KPG,18,66.78,1,95,92,Critical,46.7,Medium
AST-0098,Point Machine,SEC-049,HWH,11,70.79,5,232,98,Low,55.48,Medium
AST-0099,Bridge,SEC-003,RU,26,60.07,7,577,78,Medium,81.46,Critical
AST-0100,Signal,SEC-023,MO,25,49.62,5,678,72,High,82.66,Critical
AST-0101,Track,SEC-050,MLDT,2,90.69,0,52,46,Critical,26.21,Low
AST-0102,Bridge,SEC-048,KUR,34,48.42,4,578,98,Critical,85.34,Critical
AST-0103,Bridge,SEC-011,LS,4,94.08,1,28,69,Critical,28.83,Low
AST-0104,OHE,SEC-038,HD,35,32.95,4,488,65,Medium,75.24,High
AST-0105,Point Machine,SEC-041,JBP,35,44.44,2,90,41,Medium,45.48,Medium
AST-0106,OHE,SEC-041,JBP,28,33.09,3,799,43,Medium,72.5,High
AST-0107,Point Machine,SEC-040,MML,27,44.57,5,699,43,Critical,86.65,Critical
AST-0108,Point Machine,SEC-010,NGN,15,67.49,1,837,21,High,60.85,High
AST-0109,Track,SEC-032,MRJ,13,92.58,3,735,52,Critical,56.54,Medium
AST-0110,OHE,SEC-004,DR,11,76.73,1,598,73,High,51.2,Medium
AST-0111,Signal,SEC-017,ANG,10,84.96,0,595,45,Medium,35.54,Medium
AST-0112,Track,SEC-019,NN,26,46.46,1,323,86,Critical,65.43,High
AST-0113,OHE,SEC-003,JTJ,9,97.51,3,257,26,High,38.52,Medium
AST-0114,Bridge,SEC-003,JTJ,22,64.45,1,18,31,Medium,39.46,Medium
AST-0115,Track,SEC-010,DHI,8,76.88,0,729,41,Medium,41.0,Medium
AST-0116,Level Crossing,SEC-030,WR,3,82.62,0,213,26,Medium,21.13,Low
AST-0117,OHE,SEC-043,HBJ,31,51.17,6,872,85,High,95.3,Critical
AST-0118,Level Crossing,SEC-003,JTJ,12,86.64,0,800,27,Medium,34.75,Low
AST-0119,Track,SEC-044,JHS,14,70.59,1,834,33,High,52.53,Medium
AST-0120,OHE,SEC-042,HBD,2,84.17,0,169,24,Medium,25.12,Low
AST-0121,Level Crossing,SEC-028,CND,23,60.59,3,689,95,High,69.19,High
AST-0122,Bridge,SEC-042,HBD,28,67.51,5,888,97,Low,76.65,High
AST-0123,Point Machine,SEC-010,NGN,26,63.07,3,496,39,Critical,59.83,Medium
AST-0124,Signal,SEC-022,NAVI,34,46.89,4,644,64,Medium,75.58,High
AST-0125,Signal,SEC-004,DR,21,64.86,3,224,62,High,62.81,High
AST-0126,Track,SEC-041,GAR,17,66.91,0,351,65,Critical,49.75,Medium
AST-0127,Bridge,SEC-010,DHI,31,53.89,3,591,52,Medium,58.79,Medium
AST-0128,Level Crossing,SEC-037,JTRD,13,79.51,5,371,94,Medium,56.46,Medium
AST-0129,Track,SEC-027,HNL,7,79.89,0,834,52,Medium,35.53,Medium
AST-0130,OHE,SEC-018,KPG,26,55.75,7,139,67,High,71.23,High
AST-0131,Track,SEC-050,MLDT,15,84.64,3,342,66,Low,42.4,Medium
AST-0132,OHE,SEC-018,BDWD,11,78.78,0,340,87,Medium,30.07,Low
AST-0133,Signal,SEC-014,PVR,29,29.19,4,465,26,High,79.86,High
AST-0134,Level Crossing,SEC-020,SEG,13,85.12,0,42,87,Low,18.69,Low
AST-0135,Signal,SEC-001,BBS,13,74.49,0,527,34,High,42.78,Medium
AST-0136,Signal,SEC-021,BD,8,70.14,0,670,38,Critical,53.64,Medium
AST-0137,Track,SEC-045,CNB,18,61.65,1,114,52,Medium,32.75,Low
AST-0138,Point Machine,SEC-011,LS,15,79.15,1,447,44,Critical,42.17,Medium
AST-0139,OHE,SEC-004,BNC,21,46.37,1,286,79,High,50.39,Medium
AST-0140,Bridge,SEC-045,LKO,32,42.88,1,567,79,Low,56.04,Medium
AST-0141,Track,SEC-022,SUR,27,54.19,3,136,63,High,51.33,Medium
AST-0142,OHE,SEC-018,KPG,34,49.14,4,624,81,Medium,67.25,High
AST-0143,Bridge,SEC-009,JMD,16,64.55,0,523,84,High,47.35,Medium
AST-0144,Signal,SEC-042,HBD,6,90.54,1,506,33,Low,31.52,Low
AST-0145,OHE,SEC-033,DLGN,21,65.4,4,412,62,High,58.34,Medium
AST-0146,Bridge,SEC-006,NK,18,67.97,1,13,71,High,47.81,Medium
AST-0147,Level Crossing,SEC-018,KPG,2,98.34,0,259,73,Medium,23.39,Low
AST-0148,OHE,SEC-033,KVK,16,67.08,1,123,27,High,32.82,Low
AST-0149,OHE,SEC-013,CSTM,15,70.0,1,852,39,Medium,48.9,Medium
AST-0150,Signal,SEC-032,HTK,6,89.14,0,293,24,High,27.21,Low
AST-0151,Track,SEC-045,CNB,2,97.35,0,89,28,Medium,18.59,Low
AST-0152,Signal,SEC-014,KMN,7,83.83,3,826,55,High,56.46,Medium
AST-0153,Level Crossing,SEC-032,HTK,35,52.16,2,392,81,High,62.18,High
AST-0154,Bridge,SEC-040,NU,21,58.79,1,248,72,High,46.3,Medium
AST-0155,OHE,SEC-016,DD,17,60.39,1,800,87,Critical,76.01,High
AST-0156,Bridge,SEC-041,GAR,35,37.35,7,16,77,Medium,66.28,High
AST-0157,OHE,SEC-014,KMN,11,71.8,0,861,64,Medium,37.72,Medium
AST-0158,Bridge,SEC-033,KVK,23,53.33,0,670,36,Critical,60.2,High
AST-0159,Signal,SEC-029,PLO,31,59.85,2,267,24,High,46.95,Medium
AST-0160,Track,SEC-019,NN,32,45.64,3,810,87,High,81.38,Critical
AST-0161,Track,SEC-045,CNB,10,87.8,3,789,36,Critical,65.51,High
AST-0162,Bridge,SEC-013,CSTM,14,78.33,1,294,70,Critical,46.64,Medium
AST-0163,Level Crossing,SEC-050,RPH,32,47.04,6,742,94,Medium,90.31,Critical
AST-0164,OHE,SEC-045,CNB,22,56.32,1,568,98,High,65.4,High
AST-0165,Track,SEC-039,ET,22,61.74,4,134,27,Medium,58.69,Medium
AST-0166,Point Machine,SEC-003,RU,3,88.56,1,16,40,High,23.5,Low
AST-0167,Track,SEC-014,PVR,2,94.98,0,608,77,Low,37.69,Medium
AST-0168,OHE,SEC-039,PPI,14,76.22,3,704,23,Medium,57.45,Medium
AST-0169,OHE,SEC-010,NGN,10,65.02,1,411,93,High,60.97,High
AST-0170,Level Crossing,SEC-030,NGP,20,65.77,1,704,74,High,65.09,High
AST-0171,Bridge,SEC-012,KSRA,34,36.75,3,82,49,Critical,65.45,High
AST-0172,OHE,SEC-016,BGVN,19,63.49,1,634,66,Critical,58.42,Medium
AST-0173,OHE,SEC-023,MO,33,53.83,3,143,35,Medium,50.89,Medium
AST-0174,Level Crossing,SEC-031,KOP,10,77.63,1,763,38,Medium,48.21,Medium
AST-0175,Level Crossing,SEC-013,JM,5,90.23,0,267,89,High,32.58,Low
AST-0176,Bridge,SEC-020,SEG,35,48.07,2,549,43,High,68.33,High
AST-0177,Signal,SEC-015,JEUR,24,59.27,2,854,35,High,59.96,Medium
AST-0178,Signal,SEC-045,CNB,13,78.83,0,856,76,Medium,43.97,Medium
AST-0179,Signal,SEC-017,ANG,27,57.83,2,498,33,High,58.52,Medium
AST-0180,Track,SEC-011,MMR,18,66.45,1,859,31,Medium,51.76,Medium
AST-0181,OHE,SEC-017,ANG,4,91.71,0,670,80,Medium,36.11,Medium
AST-0182,Signal,SEC-029,PLO,22,50.58,2,28,76,High,55.37,Medium
AST-0183,OHE,SEC-008,PC,22,62.37,4,283,39,High,60.59,High
AST-0184,Track,SEC-043,BINA,15,73.02,3,766,22,Critical,65.33,High
AST-0185,Bridge,SEC-021,BD,35,58.32,5,482,60,High,76.25,High
AST-0186,Point Machine,SEC-036,SGRE,9,82.82,0,474,89,High,47.36,Medium
AST-0187,OHE,SEC-002,VSKP,27,53.79,3,372,38,Critical,62.42,High
AST-0188,Point Machine,SEC-006,IGP,16,56.74,4,646,46,High,73.28,High
AST-0189,Point Machine,SEC-049,KGP,4,83.26,2,217,79,Medium,40.6,Medium
AST-0190,Level Crossing,SEC-033,DLGN,9,91.7,0,283,47,High,29.37,Low
AST-0191,Point Machine,SEC-017,ANG,21,65.49,2,668,36,High,61.62,High
AST-0192,OHE,SEC-047,VZM,15,72.73,0,53,58,Medium,24.04,Low
AST-0193,Track,SEC-001,BBS,8,84.37,1,149,82,Low,26.26,Low
AST-0194,Point Machine,SEC-027,PAU,14,73.86,0,213,25,High,30.47,Low
AST-0195,Level Crossing,SEC-046,KPD,34,50.79,3,602,44,Medium,63.64,High
AST-0196,OHE,SEC-013,JM,23,69.84,6,404,57,Medium,68.49,High
AST-0197,OHE,SEC-020,AK,17,72.17,2,340,60,Low,40.22,Medium
AST-0198,Point Machine,SEC-046,MAS,8,72.4,2,68,67,Low,29.31,Low
AST-0199,Track,SEC-006,IGP,21,55.55,0,451,28,High,49.2,Medium
AST-0200,OHE,SEC-049,HWH,24,41.01,1,412,40,High,59.18,Medium
AST-0201,OHE,SEC-060,PANP,28,72.39,5,13,65,Low,15.1,Low
AST-0202,Track,SEC-260,APR,23,61.01,2,480,22,Low,25.89,Low
AST-0203,Track,SEC-481,BHTK,6,71.19,9,888,57,Low,46.04,Medium
AST-0204,Point Machine,SEC-045,DIVA,1,72.37,0,572,69,High,53.83,Medium
AST-0205,Bridge,SEC-211,NZM,19,52.71,0,457,39,Medium,34.27,Low
AST-0206,Point Machine,SEC-141,KVDU,18,40.61,1,356,69,Critical,70.24,High
AST-0207,Track,SEC-452,BID,16,57.59,3,603,20,High,46.6,Medium
AST-0208,OHE,SEC-447,RGL,15,62.84,5,507,61,Critical,70.51,High
AST-0209,Signal,SEC-377,GDR,11,66.0,2,637,90,Critical,73.15,High
AST-0210,Point Machine,SEC-114,CKP,9,85.51,2,168,54,Medium,20.66,Low
AST-0211,Bridge,SEC-414,NCB,33,54.18,4,485,36,Low,31.62,Low
AST-0212,Bridge,SEC-154,TTW,10,66.81,0,333,26,Low,16.58,Low
AST-0213,Track,SEC-170,DLK,16,61.77,1,550,68,High,56.72,High
AST-0214,OHE,SEC-166,PQN,18,74.03,2,13,80,Low,25.31,Low
AST-0215,Level Crossing,SEC-116,AWR,26,77.07,5,351,57,High,60.49,High
AST-0216,OHE,SEC-239,BPQ,10,74.26,2,594,48,High,44.72,Medium
AST-0217,OHE,SEC-030,BER,29,43.5,2,636,20,High,61.91,High
AST-0218,OHE,SEC-231,UMB,13,67.72,3,445,61,Critical,70.69,High
AST-0219,Signal,SEC-413,WFD,17,85.06,1,13,43,Low,16.22,Low
AST-0220,Level Crossing,SEC-455,KHT,35,50.9,3,620,44,High,55.74,High
AST-0221,Point Machine,SEC-469,FKM,9,46.95,6,865,96,Medium,58.64,High
AST-0222,Level Crossing,SEC-329,BEAS,26,75.57,3,235,20,Low,28.19,Low
AST-0223,Signal,SEC-224,AED,29,67.01,1,342,20,High,48.76,Medium
AST-0224,Signal,SEC-087,RNH,22,56.55,2,663,64,High,64.16,High
AST-0225,Signal,SEC-188,BCA,18,55.3,6,670,50,Low,46.23,Medium
AST-0226,OHE,SEC-019,BH,35,55.65,3,738,47,High,56.48,High
AST-0227,Level Crossing,SEC-313,KLD,19,44.11,3,717,65,Critical,74.28,High
AST-0228,Signal,SEC-123,MGS,21,61.24,1,55,65,Low,20.76,Low
AST-0229,Signal,SEC-001,GWL,15,67.79,0,328,36,Medium,33.39,Low
AST-0230,Signal,SEC-412,KWAE,20,64.42,2,616,45,High,55.88,High
AST-0231,Point Machine,SEC-061,TDO,29,47.76,1,431,60,Critical,74.92,High
AST-0232,Bridge,SEC-051,MLI,16,60.98,3,548,62,High,54.01,Medium
AST-0233,Track,SEC-392,TVC,1,76.44,2,419,70,Medium,43.49,Medium
AST-0234,Track,SEC-460,NCB,24,68.65,2,340,45,Medium,44.44,Medium
AST-0235,Point Machine,SEC-165,JMP,8,72.68,2,390,67,Medium,41.55,Medium
AST-0236,OHE,SEC-444,DLI,27,63.06,4,161,81,Critical,73.93,High
AST-0237,OHE,SEC-313,AGC,19,64.68,2,265,60,Low,26.78,Low
AST-0238,Signal,SEC-135,DNA,29,67.58,5,436,56,High,49.32,Medium
AST-0239,Point Machine,SEC-406,BPQ,9,79.29,1,440,53,High,40.7,Medium
AST-0240,Level Crossing,SEC-267,RDL,13,72.7,3,601,44,High,54.95,Medium
AST-0241,Track,SEC-125,FD,15,66.09,3,379,37,Medium,36.78,Medium
AST-0242,Bridge,SEC-164,SML,3,63.29,5,888,52,High,60.2,High
AST-0243,OHE,SEC-387,BJNR,30,52.47,5,773,69,High,72.26,High
AST-0244,Track,SEC-386,DMM,2,78.71,1,322,38,Critical,55.05,High
AST-0245,Bridge,SEC-423,COA,30,48.93,2,504,57,Critical,65.81,High
AST-0246,Signal,SEC-129,LRD,23,57.54,7,768,54,High,61.41,High
AST-0247,Point Machine,SEC-398,AKP,17,57.64,2,286,100,High,60.41,High
AST-0248,Signal,SEC-247,VM,22,65.35,2,259,75,Medium,31.32,Low
AST-0249,Bridge,SEC-320,DGA,22,60.86,4,791,75,High,58.01,High
AST-0250,OHE,SEC-299,BWN,15,63.69,2,633,80,High,64.27,High
AST-0251,Bridge,SEC-256,TUP,22,49.14,5,732,46,Critical,82.24,Critical
AST-0252,Track,SEC-006,BRC,27,58.88,4,535,91,Medium,56.32,High
AST-0253,Bridge,SEC-473,RDRA,9,69.81,1,387,62,Low,30.71,Low
AST-0254,OHE,SEC-092,CPA,23,78.28,3,104,58,High,48.02,Medium
AST-0255,OHE,SEC-189,AO,1,84.7,1,489,30,Medium,32.63,Low
AST-0256,OHE,SEC-465,HNA,1,69.23,3,773,49,High,58.8,High
AST-0257,Track,SEC-097,DHNE,25,50.25,5,776,20,Medium,58.01,High
AST-0258,Track,SEC-100,BWM,15,55.44,5,731,53,Critical,72.07,High
AST-0259,Signal,SEC-416,BWN,10,89.17,0,658,45,Critical,57.25,High
AST-0260,Signal,SEC-264,ANND,18,38.05,3,888,49,High,64.86,High
AST-0261,OHE,SEC-352,PLG,15,67.34,2,50,26,Low,21.76,Low
AST-0262,Signal,SEC-461,MRA,9,79.24,2,513,75,High,54.3,Medium
AST-0263,OHE,SEC-046,FZD,2,90.61,0,209,72,Low,18.47,Low
AST-0264,Level Crossing,SEC-404,KRE,1,68.87,4,857,98,Low,35.11,Medium
AST-0265,OHE,SEC-169,GCT,27,44.33,4,309,97,High,68.26,High
AST-0266,Signal,SEC-407,DVL,15,66.23,1,715,62,Medium,40.89,Medium
AST-0267,OHE,SEC-225,SKB,29,51.45,3,336,82,Low,34.83,Low
AST-0268,Point Machine,SEC-309,BDC,14,65.46,2,562,65,High,60.57,High
AST-0269,OHE,SEC-423,BSL,23,67.46,3,425,49,Critical,65.81,High
AST-0270,Level Crossing,SEC-343,NDB,18,71.17,5,449,52,High,53.66,Medium
AST-0271,OHE,SEC-293,BAM,19,57.2,2,540,73,High,71.24,High
AST-0272,Point Machine,SEC-328,CNGR,20,65.98,1,692,100,Medium,47.98,Medium
AST-0273,Track,SEC-042,SJN,14,74.5,1,425,86,Medium,37.87,Medium
AST-0274,Bridge,SEC-453,SRR,6,61.57,1,685,64,High,56.03,High
AST-0275,Bridge,SEC-407,PUNE,27,48.24,6,723,70,Low,44.6,Medium
AST-0276,Bridge,SEC-273,DVD,35,49.46,2,345,70,High,58.9,High
AST-0277,Point Machine,SEC-204,JSG,35,42.49,2,888,57,Critical,77.79,Critical
AST-0278,Point Machine,SEC-345,NDKD,13,69.03,2,647,76,High,52.67,Medium
AST-0279,OHE,SEC-164,BSX,11,60.02,3,341,55,Critical,63.6,High
AST-0280,Bridge,SEC-016,TBN,13,52.25,2,613,35,High,62.2,High
AST-0281,Bridge,SEC-180,MAHE,17,52.92,4,723,70,High,70.19,High
AST-0282,OHE,SEC-417,DEC,18,72.33,5,606,73,High,49.68,Medium
AST-0283,Track,SEC-334,JNL,9,74.13,1,505,55,Medium,38.44,Medium
AST-0284,Bridge,SEC-034,RU,4,99.0,0,13,66,Medium,18.96,Low
AST-0285,Bridge,SEC-447,ADI,19,69.0,1,201,81,Medium,48.16,Medium
AST-0286,Point Machine,SEC-420,MAS,1,68.23,4,629,57,High,55.52,High
AST-0287,Point Machine,SEC-025,CHV,18,60.35,3,196,48,High,45.37,Medium
AST-0288,Point Machine,SEC-025,DMO,9,64.58,4,587,42,High,60.69,High
AST-0289,OHE,SEC-305,KTE,27,49.47,8,683,53,Medium,60.29,High
AST-0290,Level Crossing,SEC-299,KRR,30,35.98,9,424,94,Medium,58.66,High
AST-0291,Track,SEC-104,ND,30,62.13,0,13,54,High,47.48,Medium
AST-0292,Signal,SEC-220,LKA,15,66.07,2,261,67,Medium,42.96,Medium
AST-0293,OHE,SEC-085,BARH,7,71.07,2,631,51,Low,37.33,Medium
AST-0294,Level Crossing,SEC-389,KJT,10,64.74,6,780,49,High,65.73,High
AST-0295,Signal,SEC-020,BD,22,78.7,1,13,38,High,36.54,Medium
AST-0296,Point Machine,SEC-384,SSB,2,64.79,7,474,61,Low,29.2,Low
AST-0297,Track,SEC-292,MDU,33,56.63,0,71,47,Medium,31.48,Low
AST-0298,Point Machine,SEC-390,MMR,15,73.19,1,477,88,High,57.09,High
AST-0299,Track,SEC-401,KOTA,24,61.15,3,412,56,High,58.43,High
AST-0300,Level Crossing,SEC-485,DHPR,1,75.19,5,888,58,Low,28.38,Low
AST-0301,Bridge,SEC-355,NRGR,9,75.98,1,313,54,High,36.09,Medium
AST-0302,Bridge,SEC-491,MTY,1,73.24,3,726,67,Medium,30.62,Low
AST-0303,Track,SEC-357,DHN,30,52.41,0,715,93,Medium,52.45,Medium
AST-0304,Signal,SEC-206,CMNR,17,66.03,1,402,34,High,48.15,Medium
AST-0305,Track,SEC-010,HPP,25,54.61,4,484,65,Critical,70.81,High
AST-0306,Track,SEC-307,BTD,20,62.48,3,453,22,High,53.37,Medium
AST-0307,Signal,SEC-252,RPJ,24,63.92,1,260,87,Low,26.59,Low
AST-0308,Point Machine,SEC-242,GAYA,15,78.94,1,237,56,High,41.49,Medium
AST-0309,Bridge,SEC-248,KPD,17,69.43,2,346,24,Medium,42.54,Medium
AST-0310,Point Machine,SEC-005,PRH,18,85.5,1,157,29,Low,20.53,Low
AST-0311,OHE,SEC-138,VPT,23,78.51,5,323,77,Medium,43.92,Medium
AST-0312,Track,SEC-406,KNW,23,60.07,5,402,20,High,63.5,High
AST-0313,Level Crossing,SEC-474,KYQ,35,61.68,5,495,65,Critical,78.17,Critical
AST-0314,Bridge,SEC-054,KVZ,35,51.49,2,568,49,Critical,67.71,High
AST-0315,Bridge,SEC-091,NK,1,83.93,2,402,54,Critical,60.51,High
AST-0316,Bridge,SEC-464,SHU,17,72.41,0,253,43,Medium,22.63,Low
AST-0317,Signal,SEC-198,NAC,15,77.52,2,564,36,High,46.59,Medium
AST-0318,Signal,SEC-357,SURI,32,54.54,4,659,47,Medium,55.16,High
AST-0319,OHE,SEC-206,RN,16,67.28,1,327,72,High,47.3,Medium
AST-0320,Level Crossing,SEC-194,DTO,24,65.55,0,198,52,High,49.17,Medium
AST-0321,Bridge,SEC-210,HRR,1,71.77,2,337,68,Medium,44.08,Medium
AST-0322,Signal,SEC-205,CH,3,74.79,3,406,53,Critical,61.27,High
AST-0323,Track,SEC-023,RJY,35,54.9,3,751,73,High,64.2,High
